name,city,state,address,category
APPLE MONTESSORISCHOOL OF MAHWAH,MAHWAH,NJ,75 E RAMAPO AVE,MIDDLE
APPLE ORCHARD SCHOOL,BROOKLINE,MA,282D NEWTON ST,MIDDLE
APPLE PIE PRESCHOOL,BIG SUR,CA,HWY. 1,MIDDLE
APPLE RIDGE MONTESSORI SCHOOL,CATONSVILLE,MD,200 INGLESIDE AVE,MIDDLE
A WORLD DISCOVERY MONTESSORI SCHOOL,EVERETT,WA,10814 7TH AVE SE,MIDDLE
A WORLD OF KNOWLEDGE PRESCHOOL AND LEARNING CENTER,PEMBROKE PINES,FL,750 NW 180TH TER,MIDDLE
APPLE TREE FAITH COMM CHRISTIAN ACAD-DC CENTER,SAINT CLAIR SHORES,MI,19800 FRAZHO ST,MIDDLE
APPLE TREE LEARNING CENTER,CHESAPEAKE,VA,1101 VOLVO PKWY,MIDDLE
A. B. MORRIS INTERMEDIATE,CASTRO VALLEY,CA,3310 BARLOW DR.,MIDDLE
APPLE TREE MONTESSORI SCHOOL,SOUTHWEST RANCHES,FL,6301 SW 160TH AVE,MIDDLE
APPLE TREE SCHOOL,HOUSTON,TX,17127 RED OAK DR,MIDDLE
APPLE VALLEY ADULT EDUCATION,APPLE VALLEY,CA,13063 PAWNEE RD.,MIDDLE
APPLE VALLEY CHRISTIAN SCHOOL,APPLE VALLEY,CA,22230 OTTAWA RD,MIDDLE
APPLE VALLEY JUNIOR HIGH,APPLE VALLEY,CA,12555 NAVAJO RD.,MIDDLE
APPLE VALLEY MIDDLE,APPLE VALLEY,CA,12555 NAVAJO RD.,MIDDLE
APPLE VALLEY SCHOOL,SANTAQUIN,UT,105 E 770 N,MIDDLE
APPLE VALLEY UNIFIED PRESCHOOL SPECIAL EDUCATION,APPLE VALLEY,CA,12555 NAVAJO RD.,MIDDLE
APPLEGATE ADVENTIST JR ACADEMY,ROUND ROCK,TX,4 APPLEGATE CIR,MIDDLE
APPLES & BOOKS LEARNING CENTER,BRANCHBURG,NJ,1036 US HIGHWAY 202 S,MIDDLE
APPLES OF GOLD EDUCATIONAL CENTER,FRESNO,CA,7272 W SHAW AVE,MIDDLE
APPLESEED ACADEMY,MESQUITE,TX,4346 N GALLOWAY AVE,MIDDLE
APPLESEED ALMADEN MONTESSORI SCHOOL,SAN JOSE,CA,5200 DENT AVE,MIDDLE
APPLESEED MONTESSORI SCHOOL,NORTH BROOKFIELD,MA,331 N MAIN ST STE 4,MIDDLE
APPLESEED MONTESSORI SCHOOL - WARNER,SUNNYVALE,CA,1302 WARNER AVE,MIDDLE
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,ABINGDON,VA,SOUTHWEST VA HIGHER ED CENTER,MIDDLE
APPLETREE CHRISTIAN PRESCHOOL & KINDERGARTEN,BROOMFIELD,CO,545 W 10TH AVE,MIDDLE
A. WARREN MCCLASKEY ADULT CENTER,SACRAMENTO,CA,5241 J ST.,MIDDLE
A.B. COMBS ELEMENTARY SCHOOL,COMBS,KY,641 HWY 80 W,MIDDLE
APPLETREE MONTESSORI,MISSION VIEJO,CA,25542 JERONIMO RD,MIDDLE
A.C.E. ADULT,FALLBROOK,CA,2400 SOUTH STAGE COACH LN.,MIDDLE
APPLETREE SCHOOL,FAIRFAX,VA,9655 BLAKE LN,MIDDLE
APPLETREE SCHOOL II,VIENNA,VA,712 TAPAWINGO RD SW,MIDDLE
APPLEWILD SCHOOL,FITCHBURG,MA,120 PROSPECT ST,MIDDLE
APPLEWOOD CHRISTIAN SCHOOL,SEDALIA,MO,25396 HWY O,MIDDLE
APPLICATIONS AND RESEARCH LABORATORY,ELLICOTT CITY,MD,10920 CLARKSVILLE PIKE,MIDDLE
APPLING CHRISTIAN ACADEMY,BAXLEY,GA,1479 HATCH PKWY S,MIDDLE
AAA ACADEMY,BLUE ISLAND,IL,13801 CHATHAM ST,MIDDLE
APPOMATTOX CHRISTIAN ACADEMY,APPOMATTOX,VA,1916 REDFIELDS RD,MIDDLE
AARDVARK CHILD CARE & LEARNING CENTER,GLEN MILLS,PA,335 CHEYNEY RD,MIDDLE
APPOMATTOX REGIONAL GOVERNOR'S SCHOOL,PETERSBURG,VA,512 W WASHINGTON ST,MIDDLE
APPRENDE PRIVATE SCHOOL,VALLEY PARK,MO,436B VALLEY SCHOOL DR,MIDDLE
APPRENTICE ACADEMY HS OF NC,WAXHAW,NC,8201 WILLOW BRANCH DRIVE,MIDDLE
APS PRESCHOOL,AKRON,OH,1160 WINHURST DR,MIDDLE
AARON SCHOOL,NEW YORK,NY,309 E 45TH ST REAR 1,MIDDLE
ABA ACADEMY,ST PETERSBURG,FL,4301 16TH ST N,MIDDLE
AQUIDNECK ISLAND CHRISTIAN ACADEMY,PORTSMOUTH,RI,321 E MAIN RD,MIDDLE
ABACUS MONTESSORI ACADEMY,CHALFONT,PA,180 E BUTLER AVE,MIDDLE
ABACUS SCHOOL OF AUSTIN,AUSTIN,TX,14115 AVERY RANCH BLVD,MIDDLE
ABBA INDEPENDENT LEARNING CENTER,PASADENA,TX,1035 FAIRMONT PKWY,MIDDLE
ABBEVILLE CHRISTIAN ACADEMY,ABBEVILLE,AL,258 ML TILLIS DR,MIDDLE
AQUIN CATHOLIC ELEMENTARY SCHOOL,CASCADE,IA,608 3RD AVE NW,MIDDLE
ABBOTSFORD CHRISTIAN ACADEMY,ABBOTSFORD,WI,4868 CEMETARY AVE,MIDDLE
AQUIN CATHOLIC JR SR HIGH SCHOOL,FREEPORT,IL,1419 S GALENA AVE,MIDDLE
AQUIN ELEMENTARY SCHOOL,FREEPORT,IL,202 W PLEASANT ST,MIDDLE
AQUINAS ACADEMY,BEAR,DE,2370 RED LION RD,MIDDLE
AQUINAS ACADEMY,GREENSBURG,PA,340 N MAIN ST,MIDDLE
AQUINAS ACADEMY,LIVINGSTON,NJ,388 S LIVINGSTON AVE,MIDDLE
AQUINAS ACADEMY,MENOMONEE FALLS,WI,N72W15935 GOOD HOPE RD,MIDDLE
AQUINAS CATHOLIC COMMUNITY SCHOOL,MERRILLVILLE,IN,801 W 73RD AVE,MIDDLE
AQUINAS CATHOLIC SCHOOLS,LA CROSSE,WI,315 S 11TH ST,MIDDLE
AQUINAS HIGH SCHOOL,AUGUSTA,GA,1920 HIGHLAND AVE,MIDDLE
AQUINAS HIGH SCHOOL,BRONX,NY,685 E 182ND ST,MIDDLE
ABBOTT SCHOOL,IRVINGTON,NY,100 N BROADWAY,MIDDLE
AQUINAS HIGH SCHOOL,LA CROSSE,WI,315 11TH ST S,MIDDLE
AQUINAS INSTITUTE,ROCHESTER,NY,1127 DEWEY AVE,MIDDLE
AQUINAS MIDDLE HIGH SCHOOL,DAVID CITY,NE,3420 MN RD # 149,MIDDLE
ABC / TORRINGFORD,TORRINGTON,CT,837 CHARLES ST,MIDDLE
ABC ACADEMY,CHICAGO,IL,2714 W PRATT BLVD,MIDDLE
ABC ADULT,CERRITOS,CA,12254 CUESTA DR.,MIDDLE
ABC CHARTER MIDDLE,LOS ANGELES,CA,1501 WILSHIRE BLVD.,MIDDLE
ABC CHILDCARE CENTER,TEMECULA,CA,29705 SOLANA WAY,MIDDLE
ABC DAYCARE AND PRESCHOOL,HIALEAH,FL,990 W 22ND ST,MIDDLE
ABC INTERNATIONAL MONTESSORI ACADEMY,BLOOMINGTON,MN,10801 NORMANDALE BLVD,MIDDLE
ARANSAS PASS JJAEP,ARANSAS PASS,TX,244 W HARRISON BLVD,MIDDLE
"ABC LEARNING CENTRE, INC (DBA ABC-STEWART SCHOOL)",COLUMBUS,IN,6691 W STATE ROAD 46,MIDDLE
ABC LEARNING PREP,PEMBROKE PINES,FL,18239 PINES BLVD,MIDDLE
ABC LITTLE SCHOOL,STUDIO CITY,CA,11728 MOORPARK ST,MIDDLE
ABC LITTLE SCHOOLS - WEST HOLLYWOOD,WEST HOLLYWOOD,CA,927 N FAIRFAX AVE,MIDDLE
ABC MONTESSORI ACADEMY FOR THE BRILLIANT CHILD,MCDONOUGH,GA,483 WALKER DR,MIDDLE
ABC OF NC CHILD DEVELOPMENT CENTER,WINSTON SALEM,NC,905 FRIEDBERG CHURCH RD,MIDDLE
ABC PLAYHOUSE,TORRANCE,CA,18213 PRAIRIE AVE,MIDDLE
ABC SCHOOL,SACRAMENTO,CA,4540 HARLIN DR,MIDDLE
ABC'S OF LEARNING,TOWACO,NJ,74 JACKSONVILLE RD,MIDDLE
ABC'S OF LEARNING AND GROWING INC,FORT LAUDERDALE,FL,7720 KIMBERLY BLVD,MIDDLE
ABCD DAYCARE CENTER,COEUR D ALENE,ID,1124 N C ST,MIDDLE
ARBOR BAY SCHOOL,SAN CARLOS,CA,1017 CEDAR ST,MIDDLE
ARBOR MONTISORRI SCHOOL,DECATUR,GA,2998 LAVISTA RD,MIDDLE
ABELS ACADEMY,CLERMONT,FL,355 CITRUS TOWER BLVD STE 116,MIDDLE
ARBOR SCHOOL OF ARTS & SCIENCES,TUALATIN,OR,4201 SW BORLAND RD,MIDDLE
ABERCROMBIE ACADEMY,SPRING,TX,17102 THEISS MAIL ROUTE RD,MIDDLE
ABERDEEN CATHOLIC SCHOOLS,ABERDEEN,SD,419 1ST AVE NE,MIDDLE
ARBOR SCHOOL OF CENTA,WINTER SPRINGS,FL,1010 SPRING VILLAS PT,MIDDLE
ARBOR SCHOOLS,SAMMAMISH,WA,1107 228TH AVE SE,MIDDLE
"ABERDEEN CHRISTIAN SCHOOL, INC",ABERDEEN,SD,1500 N HWY 281,MIDDLE
ARBOR VIEW MONTESSORI,ROSEVILLE,CA,7441 FOOTHILLS BLVD # 140,MIDDLE
ARBORBROOK CHRISTIAN ACADEMY,MATTHEWS,NC,4823 WAXHAW INDIAN TRL RD,MIDDLE
ARBORCREEK MONTESSORI SCHOOL,FARMERS BRANCH,TX,2713 COOKSCREEK PL,MIDDLE
ABF LEARNING CENTER,HOMESTEAD,FL,12767 SW 280TH ST,MIDDLE
ABI CHRISTIAN ACADEMY,SAINT PAUL,MN,6944 HUDSON BLVD N,MIDDLE
ABIDING HOPE PRESCHOOL,LITTLETON,CO,6337 S ROBB WAY,MIDDLE
ABIDING PEACE ACADEMY,SIMPSONVILLE,SC,401 BATESVILLE RD,MIDDLE
ABIDING SAVIOR ACADEMY,SIOUX FALLS,SD,4100 S BAHNSON AVE,MIDDLE
ABIDING SAVIOR LUTHERAN CHURCH,LAKE FOREST,CA,23262 EL TORO RD,MIDDLE
ABIDING SAVIOR LUTHERAN SCHOOL,SAINT LOUIS,MO,4353 BUTLER HILL RD,MIDDLE
ABIDING WORD LUTHERAN SCHOOL,HOUSTON,TX,17123 RED OAK DR,MIDDLE
ABILENE BAPTIST ACADEMY,ABILENE,KS,409 N VAN BUREN ST,MIDDLE
ABILITY SCHOOL,ENGLEWOOD,NJ,75 KNICKERBOCKER RD,MIDDLE
ARC ORANGE COUNTY CHAPTER,MIDDLETOWN,NY,28 INGRASSIA RD,MIDDLE
ARCADIA ADULT,ARCADIA,CA,150 SOUTH THIRD AVE.,MIDDLE
ARCADIA ADULT EVENING SCHOOL,ARCADIA,CA,180 CAMPUS DR.,MIDDLE
ARCADIA CHILDREN'S EDUCATIONAL CENTER,ARCADIA,CA,9845 E LEMON AVE,MIDDLE
ABINGTON FRIENDS SCHOOL,JENKINTOWN,PA,575 WASHINGTON LN,MIDDLE
ABINTRA MONTESSORI SCHOOL,NASHVILLE,TN,914 DAVIDSON DR,MIDDLE
ABIS PLACE,CORAL SPRINGS,FL,1710 N UNIVERSITY DR,MIDDLE
ARCADIA FIRST BAPTIST CHRISTIAN SCHOOL,SANTA FE,TX,14828 HWY 6,MIDDLE
ABLE ACADEMY,NAPLES,FL,5860 GOLDEN GATE PKWY,MIDDLE
ABLE CENTER,ORLANDO,FL,1530 S PRIMROSE DR,MIDDLE
ABLE CHARTER SCHOOL 6TH-8TH,OKLAHOMA CITY,OK,4500 N CLASSEN BLVD STE 2015,MIDDLE
ABLE CHARTER SCHOOL 9TH-12TH,OKLAHOMA CITY,OK,4500 N CLASSEN BLVD STE 2015,MIDDLE
ABM MINISTRIES-LIGHTHOUSE CHRISTIAN ACADEMY,PIEDMONT,MO,PO BOX 100,MIDDLE
ABM VIETNAMESE SCHOOL,ATLANTA,GA,4300 BUFORD HWY NE STE 104,MIDDLE
ARCADIA LEARNING CENTER,TACOMA,WA,6312 N 30TH ST,MIDDLE
ABNER MONTESSORI SCHOOL,CHAPIN,SC,432 E BOUNDARY ST,MIDDLE
ABOITE CHRISTIAN SCHOOL,ROANOKE,IN,14615 WINTERS RD,MIDDLE
ARCADIA MONTESSORI SCHOOL,PHOENIX,AZ,5115 E VIRGINIA AVE,MIDDLE
ABOUT FACE JJAEP,EL PASO,TX,4500 LAWRENCE AVE,MIDDLE
ARCANE ELEMENTARY,SIMI VALLEY,CA,1717 ARCANE ST.,MIDDLE
ARCANUM EARLY LEARNING CENTER,ARCANUM,OH,310 N MAIN ST,MIDDLE
ARCH BISHOP MOELLER HIGH SCHOOL,CINCINNATI,OH,9001 MONTGOMERY RD,MIDDLE
ARCHBISHOP ALTER HIGH SCHOOL,KETTERING,OH,940 E DAVID RD,MIDDLE
ABRAHAM JOSHUA HESCHEL SCHOOL,NEW YORK,NY,30 W END AVE,MIDDLE
ARCHBISHOP BERGAN CATHOLIC SCHOOL,FREMONT,NE,545 E 4TH ST,MIDDLE
ABRAHAM KAZEN MIDDLE,SAN ANTONIO,TX,1520 GILLETTE BLVD,MIDDLE
ARCHBISHOP BORDERS SCHOOL,BALTIMORE,MD,3500 FOSTER AVE,MIDDLE
ARCHBISHOP CHAPELLE HIGH SCHOOL,METAIRIE,LA,8800 VETERANS MEMORIAL BLVD,MIDDLE
ARCHBISHOP CURLEY HIGH SCHOOL,BALTIMORE,MD,3701 SINCLAIR LN,MIDDLE
ARCHBISHOP HANNAN HIGH SCHOOL,COVINGTON,LA,71324 HWY 1077,MIDDLE
ARCHBISHOP HOBAN HIGH SCHOOL,AKRON,OH,1 HOLY CROSS BLVD,MIDDLE
ARCHBISHOP LYKE-ST TIMOTHY CAMPUS,GARFIELD HEIGHTS,OH,4351 E 131ST ST,MIDDLE
ARCHBISHOP MCCARTHY HIGH SCHOOL,SOUTHWEST RANCHES,FL,5451 S FLAMINGO RD,MIDDLE
ARCHBISHOP MCNICHOLAS HIGH SCHOOL,CINCINNATI,OH,6536 BEECHMONT AVE,MIDDLE
ARCHBISHOP MITTY HIGH SCHOOL,SAN JOSE,CA,5000 MITTY WAY,MIDDLE
ARCHBISHOP MOLLOY HIGH SCHOOL,BRIARWOOD,NY,8353 MANTON ST,MIDDLE
ARCHBISHOP MURPHY HIGH SCHOOL,EVERETT,WA,12911 39TH AVE SE,MIDDLE
ARCHBISHOP NEALE SCHOOL,LA PLATA,MD,104 PORT TOBACCO RD,MIDDLE
ARCHBISHOP RUMMEL HIGH SCHOOL,METAIRIE,LA,1901 SEVERN AVE,MIDDLE
ARCHBISHOP RYAN ACADEMY FOR THE DEAF,PHILADELPHIA,PA,4251 L ST,MIDDLE
ARCHBISHOP RYAN HIGH SCHOOL,PHILADELPHIA,PA,11201 ACADEMY RD,MIDDLE
ARCHBISHOP SHAW HIGH SCHOOL,MARRERO,LA,1000 BARATARIA BLVD,MIDDLE
ABRAHAM LINCOLN ELEMENTARY,DALY CITY,CA,101 LAKE MERCED BLVD.,MIDDLE
ARCHBISHOP SPALDING HIGH SCHOOL,SEVERN,MD,8080 NEW CT RD,MIDDLE
