federal_offense,misdemeanor,total,detained_or_awaiting_trial,felony,snapshot_date,id,source_url,source_url1
0.0,0.0,146.0,140,6,2020-05-01,9015,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,59.0,239.0,160,20,2020-05-01,9016,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
1.0,0.0,65.0,52,12,2020-05-01,9017,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,43.0,151.0,77,31,2020-05-01,9018,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,56.0,419.0,350,13,2020-05-01,9019,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,44.0,654.0,576,34,2020-05-01,9020,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,34.0,142.0,0,108,2020-05-01,9021,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,2.0,132.0,130,0,2020-05-01,9022,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,3.0,64.0,57,4,2020-05-01,9023,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,5.0,68.0,61,2,2020-05-01,9028,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,6.0,80.0,73,1,2020-05-01,9029,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,27.0,428.0,371,30,2020-05-01,9030,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,25.0,175.0,143,7,2020-05-01,10110,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,68.0,565.0,445,52,2020-05-01,9031,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,20.0,92.0,62,10,2020-05-01,9032,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,0.0,9.0,9,0,2020-05-01,9033,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,1.0,56.0,51,4,2020-05-01,9035,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
4.0,16.0,35.0,3,12,2020-05-01,9036,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,49.0,159.0,80,30,2020-05-01,9037,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
8.0,6.0,126.0,101,11,2020-05-01,9889,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,7.0,66.0,46,13,2020-05-01,9039,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,40.0,92.0,48,4,2020-05-01,9040,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
