property_id,sale_date,sale_price,book,page,physical_address,property_type,county,state,source_url
965224964100,2001-11-26 00:00:00,8,764,221,1801.0 S HORNER BLVD,COMM BLDG,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967015222400,2001-11-26 00:00:00,1,764,175,1337.0 MICHIGAN BLVD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
954992904200,2001-11-26 00:00:00,9,764,129,84.0 PLANT BED LN,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
954991659900,2001-11-26 00:00:00,1,763,832,219.0 UPCHURCH FARM RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963273262700,2001-11-23 00:00:00,9,764,472,3403.0 LONGVIEW DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967382410900,2001-11-21 00:00:00,5,765,702,158.0 LYMAN KITTRELL LN,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964481405400,2001-11-21 00:00:00,1,765,119,646.0 FAIRWAY DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963322116400,2001-11-21 00:00:00,0,763,726,536.0 PETTY RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967011249000,2001-11-21 00:00:00,1,763,628,2193.0 CLEVELAND CIR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967033771400,2001-11-20 00:00:00,6,767,861,6029.0 COX MILL RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963182845100,2001-11-20 00:00:00,0,764,998,71.0 LOBLOLLY TR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
966181315800,2001-11-20 00:00:00,8,764,775,1807.0 KIR CIR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961040156200,2001-11-20 00:00:00,0,764,127,4317.0 S PLANK RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965166485300,2001-11-20 00:00:00,1,763,472,0.0 CAMERON DR,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965166572500,2001-11-20 00:00:00,1,763,472,3105.0 CAMERON DR,MULTI-FAM,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963217984800,2001-11-20 00:00:00,3,763,429,3624.0 WICKER ST,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965154914300,2001-11-19 00:00:00,1,764,302,3500.0 CAVE RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964220494800,2001-11-19 00:00:00,1,763,535,317.0 PROVIDENCE HALL DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964220189100,2001-11-19 00:00:00,1,763,512,327.0 PROVIDEND HALL DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964174107900,2001-11-19 00:00:00,0,763,249,336.0 BEULAH BROWN RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964164818600,2001-11-19 00:00:00,9,763,247,338.0 BEULAH BROWN RD,SW MH(S),Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
954831016300,2001-11-16 00:00:00,4,766,609,313.0 GUNTER LAKE RD,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964395346000,2001-11-16 00:00:00,5,763,387,0.0 COLON RD,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
968106832100,2001-11-16 00:00:00,7,762,987,1806.0 DIXIE FARM RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964477926900,2001-11-16 00:00:00,0,762,921,2724.0 LITTLE CREEK RD,RES+SWMH,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963277907900,2001-11-16 00:00:00,1,762,889,408.0 MCLEOD DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963192297100,2001-11-16 00:00:00,1,762,836,43.0 PINEWOOD TR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967014668600,2001-11-15 00:00:00,4,768,817,0.0 FLORIDA DR,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
954755697200,2001-11-15 00:00:00,0,762,925,8120.0 SHERIFF WATSON RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
