name,restaurant_name,identifier,calories,price_usd
BUILD YOUR OWN CALZONE - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,8.99
CHICKEN BACON GARLIC CALZONE - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,8.99
ITALIAN CALZONE - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,8.99
3 DEEP-FRIED TACOS - 3 TACOS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,8.99
3 SOFT SHELL TACOS - 3 TACOS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,8.99
3 STREET TACOS - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,8.99
COOKIE - EACH,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,1.50
2 LITER BOTTLE - 2 LITER,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,2.99
20 OZ. BOTTLE - 20 OZ,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,1.79
20 OZ. DASANI WATER - 20 OZ.,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,1.49
CAJUN FRIES - SIDE,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,2.99
CAJUN FRIES - BASKET,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,4.99
REGULAR FRIES - SIDE,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,2.99
REGULAR FRIES - BASKET,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,4.99
