name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
PEANUT POWER PLUS 32 OZ,SMOOTHIE KING,NATIONAL,880,36,10,650,119,18,82,30
PEANUT POWER PLUS 40 OZ,SMOOTHIE KING,NATIONAL,1170,48,15,870,158,25,109,40
PEANUT POWER PLUS CHOCOLATE 20 OZ,SMOOTHIE KING,NATIONAL,600,24,10,570,77,12,53,23
PEANUT POWER PLUS CHOCOLATE 32 OZ,SMOOTHIE KING,NATIONAL,910,37,20,860,117,18,81,35
PEANUT POWER PLUS CHOCOLATE 40 OZ,SMOOTHIE KING,NATIONAL,1190,49,25,1120,153,23,106,46
PEANUT POWER PLUS STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,680,23,3,230,110,11,86,16
PEANUT POWER PLUS STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,1060,35,3,350,173,18,135,24
PEANUT POWER PLUS STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,1370,46,5,470,220,22,173,32
THE ACTIVATOR BLUEBERRY STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,260,1,15,210,39,4,28,23
THE ACTIVATOR BLUEBERRY STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,390,2,20,320,58,6,43,35
THE ACTIVATOR BLUEBERRY STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,520,3,25,430,77,8,57,46
THE ACTIVATOR CHOCOLATE 20 OZ,SMOOTHIE KING,NATIONAL,210,2,15,400,21,3,11,26
THE ACTIVATOR CHOCOLATE 32 OZ,SMOOTHIE KING,NATIONAL,300,3,25,600,29,4,15,39
THE ACTIVATOR CHOCOLATE 40 OZ,SMOOTHIE KING,NATIONAL,390,5,30,800,39,6,20,52
THE ACTIVATOR COFFEE 20 OZ,SMOOTHIE KING,NATIONAL,230,2,20,450,24,3,15,29
THE ACTIVATOR COFFEE 32 OZ,SMOOTHIE KING,NATIONAL,340,4,25,680,36,5,22,44
THE ACTIVATOR COFFEE 40 OZ,SMOOTHIE KING,NATIONAL,450,5,35,900,47,6,30,58
THE ACTIVATOR PINEAPPLE 20 OZ,SMOOTHIE KING,NATIONAL,310,2,15,250,51,3,43,23
THE ACTIVATOR PINEAPPLE 32 OZ,SMOOTHIE KING,NATIONAL,470,3,20,380,79,5,66,35
THE ACTIVATOR PINEAPPLE 40 OZ,SMOOTHIE KING,NATIONAL,620,4,25,500,102,6,86,47
THE ACTIVATOR STRAWBERRY BANANA 20 OZ,SMOOTHIE KING,NATIONAL,200,2,15,240,24,4,13,23
THE ACTIVATOR STRAWBERRY BANANA 32 OZ,SMOOTHIE KING,NATIONAL,310,3,20,360,37,6,20,35
THE ACTIVATOR STRAWBERRY BANANA 40 OZ,SMOOTHIE KING,NATIONAL,400,4,25,480,47,8,26,47
THE HULK CHOCOLATE 20 OZ,SMOOTHIE KING,NATIONAL,710,32,110,370,101,8,83,29
THE HULK CHOCOLATE 32 OZ,SMOOTHIE KING,NATIONAL,1060,48,165,550,151,12,124,43
THE HULK CHOCOLATE 40 OZ,SMOOTHIE KING,NATIONAL,1420,64,220,740,202,16,166,57
THE HULK COFFEE 20 OZ,SMOOTHIE KING,NATIONAL,720,32,110,370,103,8,83,29
THE HULK COFFEE 32 OZ,SMOOTHIE KING,NATIONAL,1080,48,165,560,155,12,125,44
