name,restaurant_name,identifier,calories,price_usd
BYRNE'S TOSSED CHICKEN BITES - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
CAPE COD SPINACH SALAD - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
CAPE COD REUBEN SANDWICH - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
PASTRAMI & CHEESE SANDWICH - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
TRADITIONAL REUBEN SANDWICH - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,14.00
CHICKEN SHAKESPEARE - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,14.00
FRIED CHICKEN SANDWICH - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,12.00
FRIED BUFFALO CHICKEN SANDWICH - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
CHICKEN PARM SANDWICH - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,14.00
TURKEY CLUB SANDWICH - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,14.00
FRENCH DIP - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,14.00
THE BASIC CHICKEN - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,11.00
BASIC BURGER (1/2LB) - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,12.00
CAJUN BYRNE BURGER (1/2LB) - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
TEXAS CHIPOTLE BURGER (1/2LB) - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,14.00
CHEESEBURGER (1/2LB) - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,12.50
BACON BURGER (1/2LB) - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
SMOTHERED BURGER (1/2LB) - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,14.00
MUSHROOM & SWISS BURGER - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
CHICKEN FAJITAS - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,18.00
BAKED SCROD - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,21.00
TRADITIONAL FISH & CHIPS - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,21.00
MURPHY'S MAC & CHEESE - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,15.00
BYRNE'S STEAK TIPS (3/4LB) - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,22.00
CHICKEN PARMIGIANA - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,17.00
ALFREDO DINNER - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,14.00
TSO'S SHRIMP RICE BOWL - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,16.00
TSO'S CHICKEN RICE BOWL - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,16.00
BAKED SEA SCALLOPS - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,23.00
FRIED SEA SCALLOPS - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,22.00
LANDRY'S TIP COMBO - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,20.00
