GRILLED CHEESE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.95
BBQ PULLED PORK - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.95
FRENCH DIP - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
HOT PASTRAMI - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
TRI-TIP SANDWICH - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.50
NEW YORK CHEESESTEAK - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
THE CLASSIC BURGER - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.75
CHEESEBURGER - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,11.75
BACON CHEESEBURGER - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,12.95
CALIFORNIA BURGER - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.50
CALIFORNIA CHICKEN BURGER - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.50
GARDEN BURGER - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,11.95
THE CHILI SIZE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.50
BBQ'D BACON CHEESEBURGER - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,12.95
GRILLED SALMON 6 OZ. - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,18.95
PRIME TRI-TIP - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,15.95
