name,restaurant_name,identifier,calories,price_usd
CHICKEN CAESAR SALAD - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,6.99
ITALIAN SALAD - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,6.99
VEGGIE SALAD - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,6.99
GARLIC CHEESY BREAD - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,7.99
CHICKEN RANCH WRAP - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,8.99
CHICKEN CAESAR WRAP - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,8.99
BUILD YOUR OWN CALZONE - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,8.99
CHICKEN BACON GARLIC CALZONE - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,8.99
ITALIAN CALZONE - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,8.99
3 DEEP-FRIED TACOS - 3 TACOS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,8.99
3 SOFT SHELL TACOS - 3 TACOS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,8.99
3 STREET TACOS - REGULAR,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,8.99
COOKIE - EACH,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,1.50
2 LITER BOTTLE - 2 LITER,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,2.99
20 OZ. BOTTLE - 20 OZ,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,1.79
20 OZ. DASANI WATER - 20 OZ.,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,1.49
CAJUN FRIES - SIDE,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,2.99
CAJUN FRIES - BASKET,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,4.99
REGULAR FRIES - SIDE,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,2.99
REGULAR FRIES - BASKET,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,4.99
