name,restaurant_name,identifier,price_usd
SAUTEED VEGETABLE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.99
BLACK OLIVES,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.75
GREEN OLIVES,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.75
PEPPERONCINI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.75
BANANA PEPPERS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.5
SHAVED PARMESAN,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.75
FETA CHEESE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.75
MOZZARELLA CHEESE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.75
ALFREDO SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.99
TOMATO SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.75
MARINARA SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.75
MEAT SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.5
PINK SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.5
VODKA SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.5
WING SAUCES,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.5
WING DRY RUBS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.5
GARLIC BUTTER,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",0.5
LARGE CANNOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",4.49
SMALL CANNOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",3.5
TIRAMISU,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",5.5
VINNYÂ€™S MINI FRIED DONUTS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.5
LUNCH PASTA ON A PLATE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH OVEN BAKED PASTA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH SPINACH & FETA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH BEEF LASAGNA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.99
LUNCH CHICKEN PARMIGIANA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.99
LUNCH VEAL PARMIGIANA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",9.49
LUNCH EGGPLANT PARMIGIANA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH SAUSAGE & PEPPER PLATE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH MAC & CHEESE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH CHEESE RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH COMBINATION RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH BEEF RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH MANICOTTI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH SPINACH STUFFED SHELLS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
LUNCH DITALINI ALLA NONNA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
ECHOLÂ€™S CHICKEN AND VEGETABLES,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
ONE SLICE SPECIAL,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.95
TWO SLICE SPECIAL,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.95
PEPSI- 20 OZ,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.29
DIET PEPSI- 20 OZ,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.29
MT. DEW- 20 OZ,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.29
WATER- 20 OZ,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.29
ICE SPARKLING BEVERAGE-20 OZ,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.29
PELLEGRINO- 16 OZ BTL,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.29
MT. DEW- 12 OZ CAN,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.59
GINGER ALE- 12 OZ CAN,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.59
ROCK STAR - 16 OZ CAN,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",3.59
2 LITER PEPSI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",3.49
2 LITER MT. DEW,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",3.49
2 LITER DIET PEPSI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",3.49
MUG ROOT BEER - 20 OZ.,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.29
PEPSI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
DIET PEPSI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
MT. DEW,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
SIERRA MIST,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
TROPICANA LEMONADE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
DR. PEPPER,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
STUBBORN AGAVE VANILLA CREAM,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
ICED TEA- SWEET,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
HALF/HALF TEA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
UNSWEETENED TEA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
ARNOLD PALMER,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
STUBBORN BLACK CHERRY W/ TARRAGON,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.49
