"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,38,5,0,0,14,0,53,110
Lawrence,12,0,0,97,21,1,61,192
Lewis,0,1,5,0,1,17,19,43
Lincoln,10,4,3,0,11,43,19,90
Loudon,13,9,4,0,15,80,24,145
Macon,26,0,0,0,17,48,52,143
Madison Annex,9,0,0,0,9,11,10,39
Madison CJC,92,19,0,2,79,124,89,405
Madison PF,18,5,0,0,21,21,7,72
Marion,12,4,0,0,17,56,8,97
Marshall,41,3,0,0,32,41,6,123
Maury,44,27,0,0,71,128,44,314
McMinn,56,0,11,0,34,92,15,208
McNairy,19,0,0,1,8,28,36,92
Meigs,13,5,0,0,4,30,9,61
Monroe,62,11,6,2,47,68,39,235
Montgomery Jail,41,8,0,6,67,283,86,491
Montgomery Workhouse,20,4,0,6,27,10,0,67
Moore,0,12,0,0,8,5,1,26
Morgan,2,0,0,0,20,15,35,72
Obion,19,19,2,61,6,13,10,130
Overton,44,1,1,0,23,12,23,104
Perry,17,0,0,0,3,20,5,45
Pickett (closed),0,0,0,0,0,0,0,0
Polk,93,4,0,0,3,44,12,156
Putnam,86,11,11,0,20,52,16,196
Rhea,10,5,0,3,6,51,44,119
Roane,5,9,0,10,23,21,84,152
Robertson,203,15,0,0,70,115,59,462
Rutherford,144,27,0,0,39,448,67,725
Rutherford Work Center,0,79,0,0,26,0,0,105
Scott,58,0,0,0,7,54,34,153
Sequatchie,24,6,0,0,16,32,8,86
Sevier Jail,33,22,0,0,9,66,12,142
Sevier Annex,42,31,0,0,50,85,66,274
Shelby CJC,13,18,301,34,12,1955,121,2454
Shelby SCCC,314,944,0,0,76,0,0,1334
Smith,58,0,0,0,14,22,11,105
Stewart,27,1,0,0,8,28,13,77
Sullivan,62,26,0,0,61,325,57,531
Sullivan Extension,23,18,0,0,49,101,62,253
Kingsport City,0,0,0,0,0,1,1,2
Sumner,87,54,0,0,133,301,48,623
Tipton,13,12,0,0,41,55,35,156
Trousdale,12,5,0,0,7,6,14,44
Unicoi Jail (M),17,0,0,0,1,26,18,62
Unicoi Annex (F),13,0,0,0,1,11,1,26
Union,1,1,7,1,6,20,41,77
Van Buren,0,11,0,0,9,10,10,40
Warren,30,19,8,0,31,46,81,215
"Washington Det, Center",61,8,10,50,117,177,94,517
Washington WH,3,2,0,0,8,0,1,14
Wayne,46,1,5,11,19,56,10,148
Weakley,25,11,0,0,11,16,16,79
White,18,13,2,0,57,26,20,136
Williamson,23,7,4,0,50,113,57,254
Wilson,55,24,12,1,94,160,84,430
