"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,39,6,0,0,6,0,41,92
Lawrence,10,1,0,100,19,0,42,172
Lewis,0,1,7,0,5,11,17,41
Lincoln,20,6,4,0,11,39,17,97
Loudon,13,1,3,0,8,59,10,94
Macon,44,0,0,0,16,32,37,129
Madison Annex,17,0,0,0,6,10,2,35
Madison CJC,110,20,0,3,79,123,95,430
Madison PF,18,3,0,0,27,18,9,75
Marion,13,3,0,0,5,33,7,61
Marshall,42,4,0,0,22,36,1,105
Maury,46,34,0,0,57,111,24,272
McMinn,70,0,7,0,12,89,22,200
McNairy,13,0,0,0,8,44,26,91
Meigs,8,7,0,0,3,31,7,56
Monroe,52,6,0,2,29,71,44,204
Montgomery Jail,68,8,0,8,65,266,85,500
Montgomery Workhouse,18,3,0,0,20,4,0,45
Moore,0,9,1,0,3,7,1,21
Morgan,4,0,0,0,6,4,57,71
Obion,27,9,0,69,0,9,13,127
Overton,50,1,3,3,18,17,45,137
Perry,21,0,0,0,1,12,6,40
Pickett (closed),0,0,0,0,0,0,0,0
Polk,102,4,0,0,6,32,7,151
"#Putnam",107,7,8,0,29,50,17,218
Rhea,13,8,0,1,3,15,18,58
Roane,15,21,1,1,29,16,71,154
Robertson,194,14,0,0,69,94,51,422
Rutherford,193,25,0,0,34,432,31,715
Rutherford Work Center,0,92,0,0,30,0,0,122
Scott,65,0,0,0,3,60,44,172
Sequatchie,18,6,0,0,7,38,8,77
Sevier Jail,39,11,0,0,12,72,9,143
Sevier Annex,57,36,0,0,31,78,44,246
Shelby CJC,77,19,251,48,5,1763,100,2263
Shelby SCCC,330,1005,0,0,58,0,0,1393
Smith,51,1,0,0,11,23,3,89
Stewart,30,,0,0,3,27,5,65
Sullivan,105,37,0,0,73,280,45,540
Sullivan Extension,25,14,0,0,59,92,41,231
Kingsport City,0,0,0,0,0,1,3,4
Sumner,156,56,0,0,101,309,42,664
Tipton,25,14,0,0,36,34,46,155
Trousdale,11,1,0,0,4,7,10,33
Unicoi Jail (M),21,0,1,0,3,25,12,62
Unicoi Annex (F),20,0,0,0,0,4,3,27
Union,6,0,9,0,1,21,61,98
Van Buren,0,11,0,0,12,11,7,41
Warren,29,17,3,0,39,24,57,169
"Washington Det, Center",59,16,9,57,114,135,53,443
Washington WH,8,2,2,0,6,0,1,19
Wayne,46,5,4,5,14,35,8,117
Weakley,29,6,0,0,8,25,12,80
White,20,5,6,0,31,29,16,107
Williamson,28,7,1,0,48,75,19,178
Wilson,84,26,12,7,81,77,131,418
