"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,21,5,0,0,5,0,28,59
Lawrence,10,0,0,93,39,0,15,157
Lewis,0,1,5,0,2,15,15,38
Lincoln,14,9,3,0,16,35,16,93
Loudon,11,3,2,0,8,45,10,79
Macon,41,0,0,0,13,43,22,119
Madison Annex,15,3,0,0,3,9,2,32
Madison CJC,91,17,0,2,67,122,80,379
Madison PF,16,3,0,0,27,18,11,75
Marion,9,5,0,0,8,14,9,45
Marshall,40,5,0,0,14,31,9,99
Maury,37,30,0,0,54,79,18,218
McMinn,71,0,10,0,19,66,9,175
McNairy,13,0,0,2,7,23,20,65
Meigs,10,9,0,0,4,25,3,51
Monroe,63,13,1,1,23,50,21,172
Montgomery Jail,51,7,0,9,46,257,87,457
Montgomery Workhouse,16,4,0,0,14,5,0,39
Moore,0,9,2,0,0,1,1,13
Morgan,4,0,0,0,11,5,24,44
Obion,39,5,7,71,6,6,6,140
Overton,45,3,2,0,6,14,41,111
Perry,17,2,0,0,1,15,5,40
Pickett (closed),0,0,0,0,0,0,0,0
Polk,105,7,0,0,0,29,6,147
Putnam,103,12,8,0,43,41,18,225
Rhea,8,15,1,0,0,22,10,56
Roane,10,11,0,1,26,3,54,105
Robertson,210,9,0,0,55,81,56,411
Rutherford,198,27,0,0,51,349,47,672
Rutherford Work Center,0,104,0,0,26,0,0,130
Scott,64,0,0,0,2,45,23,134
Sequatchie,22,7,0,0,3,28,6,66
Sevier Jail,39,14,0,0,8,60,7,128
Sevier Annex,54,49,0,0,33,64,24,224
Shelby CJC,52,14,224,50,2,1769,78,2189
Shelby SCCC,367,1075,0,0,72,0,0,1514
Smith,46,0,0,0,5,17,10,78
Stewart,34,0,2,0,7,27,3,73
Sullivan,101,21,0,0,39,267,57,485
Sullivan Extension,26,17,0,0,29,115,33,220
Kingsport City,0,0,0,0,0,0,2,2
Sumner,136,48,0,0,84,299,33,600
Tipton,8,12,0,0,20,32,33,105
Trousdale,13,1,0,0,2,6,5,27
Unicoi Jail (M),20,0,1,0,4,22,11,58
Unicoi Annex (F),16,0,1,0,1,5,3,26
Union,3,0,7,0,1,16,39,66
Van Buren,0,11,1,0,9,6,4,31
Warren,26,23,2,0,27,14,42,134
"Washington Det, Center",49,19,8,49,91,170,41,427
Washington WH,8,1,2,0,12,0,1,24
Wayne,54,9,5,4,16,34,5,127
Weakley,28,7,0,0,8,15,2,60
White,8,5,7,0,38,25,11,94
Williamson,21,4,2,0,22,93,29,171
Wilson,88,25,12,0,68,115,50,358
