"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,41,6,0,0,9,0,39,95
Lawrence,15,0,0,96,24,0,53,188
Lewis,0,1,5,1,1,11,24,43
Lincoln,11,3,3,0,10,38,17,82
Loudon,11,7,3,0,18,66,20,125
Macon,37,0,0,0,26,57,51,171
Madison Annex,9,2,0,0,7,14,6,38
Madison CJC,94,16,0,2,70,122,103,407
Madison PF,22,3,0,0,19,16,5,65
Marion,11,4,0,0,10,47,13,85
Marshall,39,3,0,0,38,38,3,121
Maury,46,24,0,0,70,118,40,298
McMinn,58,0,7,0,21,108,20,214
McNairy,18,0,0,0,10,34,27,89
Meigs,13,3,0,0,3,21,8,48
Monroe,66,13,2,1,56,68,33,239
Montgomery Jail,69,8,0,6,64,263,63,473
Montgomery Workhouse,16,3,0,4,19,13,1,56
Moore,0,9,4,0,7,5,2,27
Morgan,2,0,0,0,22,15,25,64
Obion,18,13,1,66,6,17,17,138
Overton,45,0,1,3,20,9,31,109
Perry,20,0,0,0,6,17,5,48
Pickett (closed),0,0,0,0,0,0,0,0
Polk,99,4,0,0,4,33,11,151
Putnam,88,10,12,0,21,50,19,200
Rhea,9,4,0,1,10,49,41,114
Roane,11,12,0,3,28,33,68,155
Robertson,190,12,0,0,66,108,48,424
Rutherford,197,28,0,0,42,411,61,739
Rutherford Work Center,0,85,0,0,34,0,0,119
Scott,67,0,0,0,8,49,34,158
Sequatchie,22,6,0,0,15,31,14,88
Sevier Jail,31,10,0,0,15,72,14,142
Sevier Annex,43,16,0,0,60,110,58,287
Shelby CJC,41,7,290,36,6,1939,106,2425
Shelby SCCC,326,982,0,0,85,0,0,1393
Smith,46,0,0,0,13,28,11,98
Stewart,31,3,0,0,4,29,10,77
Sullivan,115,26,0,0,45,281,71,538
Sullivan Extension,28,17,0,0,50,120,41,256
Kingsport City,0,0,0,0,0,0,8,8
Sumner,128,53,0,0,128,318,48,675
Tipton,21,18,0,0,31,46,28,144
Trousdale,12,2,0,0,8,11,10,43
Unicoi Jail (M),16,0,1,0,2,27,12,58
Unicoi Annex (F),15,0,0,0,1,18,3,37
Union,4,1,12,2,3,19,28,69
Van Buren,0,10,0,2,7,7,8,34
Warren,25,10,9,0,41,26,64,175
"Washington Det, Center",54,10,11,51,119,161,71,477
Washington WH,5,3,0,0,7,0,1,16
Wayne,53,2,5,9,15,43,13,140
Weakley,26,7,0,0,16,22,17,88
White,12,11,7,0,61,23,30,144
Williamson,30,2,3,0,61,99,32,227
Wilson,71,25,16,1,94,62,148,417
