"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,17,7,0,0,10,0,53,87
Lawrence,11,0,0,85,22,0,48,166
Lewis,0,2,6,2,2,24,6,42
Lincoln,8,13,2,0,23,35,30,111
Loudon,13,14,6,0,35,83,20,171
Macon,39,0,0,0,14,54,50,157
Madison Annex,10,2,0,0,4,11,5,32
Madison CJC,73,7,0,3,73,137,87,380
Madison PF,12,7,0,0,19,14,19,71
Marion,9,15,0,0,24,61,24,133
Marshall,22,9,0,0,44,34,10,119
Maury,25,28,0,0,79,102,31,265
McMinn,38,0,8,0,54,143,38,281
McNairy,17,0,0,0,13,13,42,85
Meigs,12,1,0,0,0,32,27,72
Monroe,49,14,1,5,45,114,25,253
Montgomery Jail,4,5,0,9,30,252,64,364
Montgomery Workhouse,0,6,0,3,12,0,0,21
Moore,0,8,0,0,5,5,0,18
Morgan,2,0,0,0,18,15,14,49
Obion,31,12,5,58,3,13,11,133
Overton,39,1,6,4,22,20,22,114
Perry,15,0,1,0,2,19,20,57
Pickett (closed),0,0,0,0,0,0,0,0
Polk,61,6,0,0,7,45,2,121
Putnam,107,15,7,0,45,47,27,248
Rhea,48,16,0,2,43,70,52,231
Roane,15,7,24,2,20,66,45,179
Robertson,58,9,0,0,57,128,50,302
Rutherford,50,24,0,0,57,481,70,682
Rutherford Work Center,0,61,0,0,36,0,0,97
Scott,70,0,0,0,6,43,19,138
Sequatchie,12,10,0,0,4,60,18,104
Sevier Jail,23,5,0,0,12,79,32,151
Sevier Annex,17,17,0,0,39,111,79,263
Shelby CJC,30,10,296,56,8,2049,112,2561
Shelby SCCC,86,889,0,0,74,0,0,1049
Smith,35,5,0,0,15,24,30,109
Stewart,17,0,0,0,16,22,3,58
Sullivan,33,38,0,0,60,339,69,539
Sullivan Extension,10,22,0,0,50,111,63,256
Kingsport City,0,0,0,0,0,2,1,3
Sumner,40,44,0,0,130,313,54,581
Tipton,0,16,0,0,46,51,43,156
Trousdale,8,1,0,0,12,5,4,30
Unicoi Jail (M),20,2,0,0,5,28,8,63
Unicoi Annex (F),12,0,0,0,1,12,0,25
Union,1,0,1,0,2,2,53,59
Van Buren,0,8,0,0,7,8,9,32
Warren,27,28,21,0,39,62,71,248
"Washington Det, Center",67,12,12,55,146,160,81,533
Washington WH,12,0,0,0,5,0,0,17
Wayne,57,1,4,10,22,27,17,138
Weakley,21,7,0,0,10,25,14,77
White,10,6,4,0,42,29,11,102
Williamson,13,7,6,0,88,87,53,254
Wilson,58,21,3,0,128,158,73,441
