"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,41,5,0,0,7,0,35,88
Lawrence,19,1,0,101,20,0,45,186
Lewis,0,3,6,0,5,9,16,39
Lincoln,14,3,2,0,13,39,11,82
Loudon,6,4,3,0,14,68,11,106
Macon,39,0,0,0,19,44,51,153
Madison Annex,8,2,0,0,4,13,2,29
Madison CJC,95,14,0,2,72,121,95,399
Madison PF,18,3,0,0,27,18,9,75
Marion,12,4,0,0,6,36,10,68
Marshall,43,3,0,0,17,36,5,104
Maury,40,31,0,0,58,113,21,263
McMinn,62,0,5,0,27,81,18,193
McNairy,22,0,0,1,7,28,15,73
Meigs,15,0,0,0,3,32,10,60
Monroe,56,9,3,2,36,83,51,240
Montgomery Jail,74,4,0,5,64,276,79,502
Montgomery Workhouse,21,6,0,4,20,1,9,61
Moore,0,9,0,0,4,7,0,20
Morgan,1,0,0,0,27,12,26,66
Obion,20,10,0,66,5,13,23,137
Overton,44,1,2,3,17,9,37,113
Perry,23,1,0,0,4,15,5,48
Pickett (closed),0,0,0,0,0,0,0,0
Polk,97,4,0,0,3,35,9,148
Putnam,91,12,10,0,20,52,36,221
Rhea,11,4,0,2,3,31,26,77
Roane,13,17,2,2,20,30,79,163
Robertson,187,13,0,0,69,107,57,433
Rutherford,193,27,0,0,28,447,50,745
Rutherford Work Center,0,81,0,0,22,0,0,103
Scott,63,0,0,0,3,55,37,158
Sequatchie,19,4,0,0,4,43,17,87
Sevier Jail,38,12,0,0,10,75,12,147
Sevier Annex,53,21,0,0,45,91,56,266
Shelby CJC,41,18,275,58,6,1887,113,2398
Shelby SCCC,319,974,0,0,69,0,0,1362
Smith,46,1,0,0,19,32,14,112
Stewart,38,1,0,0,6,23,6,74
Sullivan,98,30,0,0,48,270,48,494
Sullivan Extension,28,14,0,0,41,116,31,230
Kingsport City,0,0,0,0,0,2,1,3
Sumner,146,54,0,0,127,308,46,681
Tipton,23,16,0,0,40,49,28,156
Trousdale,14,0,0,0,4,9,10,37
Unicoi Jail (M),19,4,0,0,2,34,6,65
Unicoi Annex (F),18,0,0,0,0,6,4,28
Union,5,1,10,0,1,18,40,75
Van Buren,0,12,0,0,8,11,11,42
Warren,23,15,8,0,34,30,66,176
"Washington Det, Center",76,9,0,47,104,146,48,430
Washington WH,7,4,0,0,8,0,1,20
Wayne,51,4,4,7,8,38,12,124
Weakley,28,6,0,0,6,18,9,67
White,11,17,5,0,36,28,28,125
Williamson,26,1,1,0,53,92,39,212
Wilson,75,16,13,1,80,85,157,427
