"",,,Other,Federal,,Pre-,Pre-,Total
Lawrence,12,0,0,85,11,0,50,158
Lewis,0,0,6,0,2,17,21,46
Lincoln,7,6,3,0,12,47,21,96
Loudon,3,9,4,0,16,69,23,124
Macon,32,0,0,0,18,60,51,161
Madison Annex,12,0,0,0,8,4,4,28
Madison CJC,74,12,0,2,46,105,75,314
Madison PF,19,6,0,0,19,13,11,68
Marion,11,13,0,0,18,52,15,109
Marshall,35,3,0,0,22,47,9,116
Maury,29,30,0,0,78,92,27,256
McMinn,49,0,9,0,33,81,22,194
McNairy,21,0,0,0,9,31,33,94
Meigs,12,0,0,0,3,33,16,64
Monroe,53,15,2,4,24,91,62,251
Montgomery Jail,23,7,0,11,39,249,66,395
Montgomery Workhouse,12,5,0,4,9,6,0,36
Moore,0,13,2,0,2,4,0,21
Morgan,2,0,0,0,11,13,28,54
Obion,17,14,2,54,1,17,23,128
Overton,56,2,2,0,19,15,10,104
Perry,17,1,0,0,4,15,15,52
Pickett (closed),0,0,0,0,0,0,0,0
Polk,95,4,0,0,10,41,4,154
Putnam,81,20,16,0,29,62,25,233
Rhea,20,1,2,8,1,70,24,126
Roane,13,14,20,5,23,48,25,148
Robertson,204,8,0,0,43,105,56,416
Rutherford,125,23,0,0,42,425,55,670
Rutherford Work Center,0,84,0,0,21,0,0,105
Scott,59,0,0,0,3,49,30,141
Sequatchie,19,1,0,0,4,54,18,96
Sevier Jail,19,12,0,0,10,65,14,120
Sevier Annex,22,30,0,0,44,76,41,213
Shelby CJC,29,10,294,37,5,1891,81,2347
Shelby SCCC,278,902,0,0,69,0,0,1249
Smith,56,2,0,0,7,27,10,102
Stewart,0,20,0,0,11,20,3,54
Sullivan,37,30,0,0,62,302,59,490
Sullivan Extension,15,24,0,0,39,78,52,208
Kingsport City,0,0,0,0,0,3,3,6
Sumner,88,47,0,0,76,274,43,528
Tipton,6,9,0,0,48,48,42,153
Trousdale,6,4,0,0,7,5,2,24
Unicoi Jail (M),26,0,2,0,8,16,5,57
Unicoi Annex (F),13,0,0,0,0,5,4,22
Union,1,0,5,1,2,13,36,58
Van Buren,0,16,0,0,8,7,6,37
Warren,30,30,11,0,27,43,42,183
"Washington Det, Center",82,10,5,54,110,172,59,492
Washington WH,0,0,0,0,0,0,0,0
Wayne,57,0,2,12,10,42,11,134
Weakley,17,6,0,0,5,13,10,51
White,10,11,3,0,43,30,11,108
Williamson,30,8,6,0,56,109,51,260
Wilson,51,17,12,0,84,166,57,387
