"",,,Other,Federal,,Pre-,Pre-,Total
Lake,11,0,0,0,5,16,4,36,40
Lauderdale,28,3,0,0,9,0,51,91,144
Lawrence,11,0,0,98,14,0,64,187,261
Lewis,0,1,4,0,5,16,19,45,47
Lincoln,10,7,2,0,9,40,18,86,276
Loudon,0,5,5,0,24,80,13,127,91
Macon,25,0,0,0,21,57,60,163,125
Madison Annex,7,0,0,0,10,10,13,40,64
Madison CJC,86,17,0,4,78,128,111,424,304
Madison PF,17,5,0,0,20,20,4,66,80
Marion,10,10,0,0,23,57,9,109,118
Marshall,42,4,0,0,36,33,9,124,283
Maury,37,32,0,0,70,117,47,303,386
McMinn,52,0,9,0,39,90,16,206,348
McNairy,16,0,0,1,10,37,29,93,95
Meigs,13,5,0,0,1,31,7,57,56
Monroe,60,12,2,1,39,53,49,216,138
Montgomery Jail,29,14,0,6,57,273,79,458,736
Montgomery Workhouse,9,4,0,6,28,10,0,57,144
Moore,0,11,0,0,5,4,1,21,29
Morgan,2,0,0,0,22,13,25,62,46
Obion,17,18,1,61,3,20,21,141,159
Overton,39,4,1,1,19,12,20,96,143
Perry,17,1,1,0,4,21,7,51,59
Pickett (closed),0,0,0,0,0,0,0,0,6
Polk,104,9,0,0,4,40,11,168,174
Putnam,83,14,11,0,18,52,21,199,252
Rhea,12,12,0,1,9,38,24,96,87
Roane,5,8,0,6,20,20,75,134,170
Robertson,224,9,0,0,76,107,51,467,584
Rutherford,128,27,0,0,42,482,75,754,960
Rutherford Work Center,0,0,79,0,18,0,0,97,312
Scott,61,0,0,0,6,41,26,134
Sequatchie,22,3,0,0,10,39,16,90
Sevier Jail,19,19,0,0,13,64,21,136
Sevier Annex,44,34,0,0,54,79,87,298
Shelby CJC,10,7,300,48,5,1953,91,2414
Shelby SCCC,302,949,0,0,89,0,0,1340
Smith,49,0,6,0,6,35,17,113
Stewart,26,1,0,0,5,19,9,60
Sullivan,50,35,0,0,48,286,64,483
Sullivan Extension,24,13,0,0,45,85,53,220
Kingsport City,0,0,0,0,0,1,0,1
Sumner,73,57,0,0,111,268,50,559
Tipton,8,14,0,0,40,50,43,155
Trousdale,12,4,0,0,6,9,5,36
Unicoi Jail (M),12,0,0,0,1,26,24,63
Unicoi Annex (F),17,0,0,0,1,10,1,29
Union,1,0,7,1,3,18,43,73
Van Buren,0,11,0,0,8,9,10,38
Warren,23,18,9,0,36,50,62,198
"Washington Det, Center",67,9,8,47,150,193,56,530
Washington WH,0,0,0,0,0,0,0,0
Wayne,39,0,3,9,13,49,8,121
Weakley,24,9,0,0,6,20,14,73
White,12,10,1,0,67,28,21,139
Williamson,24,7,6,0,57,108,47,249
Wilson,64,21,11,0,97,163,58,414
