"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,21,10,0,0,8,0,53,92
Lawrence,14,0,0,82,33,0,42,171
Lewis,0,1,3,0,3,23,12,42
Lincoln,11,13,1,0,20,32,24,101
Loudon,11,10,6,1,29,101,19,177
Macon,44,0,0,0,27,48,42,161
Madison Annex,6,2,0,0,9,7,5,29
Madison CJC,54,8,0,3,56,160,143,424
Madison PF,12,9,0,0,15,15,10,61
Marion,1,14,0,0,19,62,26,122
Marshall,26,9,0,0,44,32,7,118
Maury,28,31,0,0,73,101,30,263
McMinn,38,0,12,0,56,128,28,262
McNairy,20,0,0,1,13,15,43,92
Meigs,10,2,0,0,0,45,30,87
Monroe,57,14,2,3,42,113,37,268
Montgomery Jail,14,5,0,6,40,239,62,366
Montgomery Workhouse,0,8,0,0,4,6,0,18
Moore,0,7,0,0,11,2,0,20
Morgan,0,0,0,0,23,14,28,65
Obion,26,10,3,56,11,13,31,150
Overton,38,1,1,2,25,23,34,124
Perry,17,0,2,0,3,19,9,50
Pickett (closed),0,0,0,0,0,0,0,0
Polk,67,4,0,0,14,52,4,141
Putnam,90,16,7,0,41,76,35,265
Rhea,48,20,0,1,40,65,39,213
Roane,12,8,30,2,18,57,32,159
Robertson,34,9,0,0,54,123,45,265
Rutherford,50,23,0,0,52,471,72,668
Rutherford Work Center,0,61,0,0,38,0,0,99
Scott,70,0,0,0,6,51,23,150
Sequatchie,13,9,0,0,8,58,10,98
Sevier Jail,27,5,0,0,17,84,59,192
Sevier Annex,5,9,0,0,31,113,93,251
Shelby CJC,35,11,296,62,4,2045,113,2566
Shelby SCCC,88,781,0,0,83,0,0,952
Smith,33,3,0,0,18,25,24,103
Stewart,20,1,0,0,15,44,15,95
Sullivan,21,46,0,0,68,368,71,574
Sullivan Extension,8,15,0,0,52,115,73,263
Kingsport City,0,0,0,0,0,0,0,0
Sumner,52,41,0,0,144,311,47,595
Tipton,13,15,0,0,29,66,42,165
Trousdale,9,0,0,0,6,4,7,26
Unicoi Jail (M),22,0,2,0,6,29,7,66
Unicoi Annex (F),14,0,0,0,1,7,3,25
Union,0,1,4,1,7,1,52,66
Van Buren,0,10,0,0,15,10,8,43
Warren,22,21,24,0,32,62,74,235
"Washington Det, Center",65,17,10,56,150,164,75,537
Washington WH,12,0,0,0,5,0,0,17
Wayne,53,1,4,24,26,33,11,152
Weakley,20,6,0,0,10,16,17,69
White,15,5,9,0,71,33,13,146
Williamson,12,9,4,0,90,98,61,274
Wilson,50,22,3,1,114,170,75,435
