"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,19,5,0,0,13,0,59,96
Lawrence,7,0,0,89,19,0,44,159
Lewis,1,0,3,5,2,25,12,48
Lincoln,4,16,4,0,26,40,23,113
Loudon,7,13,7,2,29,78,21,157
Macon,44,0,0,0,22,60,34,160
Madison Annex,2,2,0,0,7,10,12,33
Madison CJC,66,13,0,3,63,134,67,346
Madison PF,6,6,0,0,15,22,16,65
Marion,7,15,0,0,18,52,14,106
Marshall,27,5,0,0,30,32,13,107
Maury,19,28,0,0,61,117,27,252
McMinn,32,0,8,0,42,111,43,236
McNairy,17,0,0,0,8,25,47,97
Meigs,11,1,0,0,0,35,23,70
Monroe,56,15,6,4,42,104,58,285
Montgomery Jail,7,6,0,6,31,245,56,351
Montgomery Workhouse,0,3,0,1,15,5,0,24
Moore,0,7,0,0,4,6,2,19
Morgan,4,0,0,0,18,12,35,69
Obion,28,6,3,62,8,5,35,147
Overton,44,2,4,0,28,19,19,116
Perry,13,0,2,0,5,22,9,51
Pickett (closed),0,0,0,0,0,0,0,0
Polk,71,0,3,0,11,39,8,132
Putnam,94,21,12,2,59,73,41,302
Rhea,49,21,0,1,36,106,51,264
Roane,24,10,25,2,22,59,38,180
Robertson,74,15,0,0,56,120,53,318
Rutherford,30,25,0,0,49,487,65,656
Rutherford Work Center,0,55,0,0,31,0,0,86
Scott,70,0,0,0,6,39,30,145
Sequatchie,15,7,0,0,2,57,11,92
Sevier Jail,15,8,0,0,6,57,27,113
Sevier Annex,15,13,0,0,31,108,75,242
Shelby CJC,23,19,302,58,18,2065,124,2609
Shelby SCCC,81,870,0,0,72,0,0,1023
Smith,27,5,0,0,24,21,22,99
Stewart,15,0,0,0,21,23,9,68
Sullivan,50,33,0,0,54,376,67,580
Sullivan Extension,18,20,0,0,47,124,61,270
Kingsport City,0,0,0,0,0,4,0,4
Sumner,33,45,0,0,119,311,42,550
Tipton,6,14,0,0,49,80,48,197
Trousdale,8,0,0,0,8,11,6,33
Unicoi Jail (M),20,3,0,0,8,18,10,59
Unicoi Annex (F),10,1,0,0,0,6,1,18
Union,2,0,5,1,7,2,57,74
Van Buren,0,8,0,0,6,11,18,43
Warren,23,21,9,0,43,52,63,211
"Washington Det, Center",97,9,11,69,141,165,80,572
Washington WH,0,0,0,0,0,0,0,0
Wayne,63,0,5,9,19,35,11,142
Weakley,25,7,0,0,12,6,18,68
White,12,9,9,0,40,27,23,120
Williamson,18,5,5,0,75,98,66,267
Wilson,49,28,1,4,108,164,85,439
