"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,21,5,0,0,6,0,30,62
Lawrence,11,0,0,111,23,0,31,176
Lewis,0,1,3,1,1,14,14,34
Lincoln,14,7,5,0,13,39,22,100
Loudon,13,2,3,0,10,52,9,89
Macon,48,0,0,0,11,40,38,137
Madison Annex,1,1,0,0,4,2,4,12
Madison CJC,102,21,0,2,78,119,89,411
Madison PF,19,1,0,0,28,16,11,75
Marion,10,4,0,5,16,7,,42
Marshall,40,3,0,0,17,33,7,100
Maury,36,26,0,0,62,84,17,225
McMinn,68,0,8,0,15,77,20,188
McNairy,20,0,0,1,5,29,19,74
Meigs,9,8,0,0,3,27,4,51
Monroe,48,12,0,1,26,60,30,177
Montgomery Jail,61,5,0,7,57,269,77,476
Montgomery Workhouse,20,6,0,0,17,3,0,46
Moore,0,7,1,1,2,5,0,16
Morgan,4,0,0,0,11,5,42,62
Obion,36,4,0,69,6,18,10,143
Overton,47,2,2,1,18,13,48,131
Perry,19,2,0,0,1,16,6,44
Pickett (closed),0,0,0,0,0,0,0,0
Polk,107,4,0,0,1,33,9,154
Putnam,103,7,8,0,28,48,16,210
Rhea,9,4,0,0,5,29,12,59
Roane,10,10,0,1,26,13,86,146
Robertson,203,9,0,0,57,92,58,419
Rutherford,201,27,0,0,60,357,54,699
Rutherford Work Center,0,90,0,0,28,0,0,118
Scott,70,0,0,0,2,57,43,172
Sequatchie,21,7,0,0,7,39,12,86
Sevier Jail,45,15,0,0,11,59,9,139
Sevier Annex,51,42,0,0,39,66,27,225
Shelby CJC,66,16,224,50,7,1734,84,2181
Shelby SCCC,340,1040,0,0,66,0,0,1446
Smith,52,1,0,0,8,19,13,93
Stewart,32,4,0,0,6,27,8,77
Sullivan,93,22,0,0,76,258,58,507
Sullivan Extension,24,10,0,0,36,114,38,222
Kingsport City,0,0,0,0,0,6,2,8
Sumner,152,46,0,0,95,289,33,615
Tipton,14,18,0,0,27,42,24,125
Trousdale,10,0,0,1,2,6,9,28
Unicoi Jail (M),23,1,0,0,3,20,17,64
Unicoi Annex (F),18,1,0,0,1,2,2,24
Union,6,0,8,0,2,20,41,77
Van Buren,0,12,0,0,9,8,9,38
Warren,28,21,4,0,33,23,52,161
"Washington Det, Center",61,19,11,58,97,141,59,446
Washington WH,9,1,2,0,9,0,1,22
Wayne,54,7,5,5,15,26,8,120
Weakley,28,6,0,0,4,24,6,68
White,16,7,4,0,28,27,14,96
Williamson,26,6,1,0,44,91,23,191
Wilson,76,22,11,0,67,130,81,387
