"",,,Other,Federal,,Pre-,Pre-,Total
Lawrence,14,0,0,96,46,0,16,172
Lewis,0,0,5,2,4,19,20,50
Lincoln,6,10,4,0,15,40,23,98
Loudon,1,4,4,1,22,73,15,120
Macon,29,0,0,0,22,48,40,139
Madison Annex,5,0,0,0,10,10,3,28
Madison CJC,57,12,0,2,38,90,72,271
Madison PF,10,4,0,0,16,16,19,65
Marion,9,14,0,0,23,42,12,100
Marshall,30,1,0,0,21,44,9,105
Maury,16,32,0,0,79,80,23,230
McMinn,42,0,12,0,36,103,34,227
McNairy,16,0,0,3,12,22,21,74
Meigs,14,3,0,0,0,30,16,63
Monroe,54,14,0,6,38,89,38,239
Montgomery Jail,17,12,0,10,42,231,59,371
Montgomery Workhouse,12,8,0,0,13,7,0,40
Moore,0,15,2,0,4,3,0,24
Morgan,5,0,0,0,21,12,16,54
Obion,15,3,11,55,0,14,38,136
Overton,73,6,2,0,17,14,21,133
Perry,19,1,0,0,0,24,12,56
Pickett (closed),0,0,0,0,0,0,0,0
Polk,100,2,0,0,6,36,11,155
Putnam,69,17,10,0,27,57,25,205
Rhea,32,8,4,11,2,86,32,175
Roane,12,15,15,5,17,41,31,136
Robertson,214,13,0,0,53,42,93,415
Rutherford,102,26,0,0,44,405,38,615
Rutherford Work Center,0,84,0,0,25,0,0,109
Scott,49,0,0,0,2,57,31,139
Sequatchie,17,7,0,0,1,52,10,87
Sevier Jail,19,13,0,0,7,64,9,112
Sevier Annex,19,32,0,0,48,74,40,213
Shelby CJC,16,18,297,31,6,1851,95,2314
Shelby SCCC,261,853,0,0,87,0,0,1201
Smith,58,3,0,0,6,18,13,98
Stewart,19,0,0,0,8,22,7,56
Sullivan,27,33,0,0,55,286,47,448
Sullivan Extension,15,24,0,0,39,78,52,208
Kingsport City,0,0,0,0,0,3,4,7
Sumner,85,41,0,0,74,261,42,503
Tipton,6,16,0,0,46,54,39,161
Trousdale,5,3,0,0,6,5,7,26
Unicoi Jail (M),0,23,2,0,4,18,14,61
Unicoi Annex (F),0,15,0,0,0,7,2,24
Union,3,0,6,0,2,10,40,61
Van Buren,0,14,0,0,4,10,10,38
Warren,25,26,11,0,21,35,51,169
"Washington Det, Center",81,11,4,66,112,172,50,496
Washington WH,12,0,0,0,5,0,0,17
Wayne,58,0,1,10,13,39,8,129
Weakley,21,7,0,0,6,16,4,54
White,7,9,8,0,42,30,13,109
Williamson,25,6,3,0,66,91,43,234
Wilson,64,24,9,1,78,169,66,411
