RALPH E. HAWES ELEMENTARY,HUNTINGTON BEACH,CA,9682 YELLOWSTONE DR.,"https://hes-huntington-ca.schoolloop.com/"
HULL MIDDLE SCHOOL,DULUTH,GA,1950 OLD PEACHTREE RD,"https://www.gcpsk12.org/HullMS"
HIGHLAND ELEMENTARY,RIVERSIDE,CA,700 HIGHLANDER DR.,"https://highland.cnusd.k12.ca.us/"
SPRUANCE GILBERT SCH,PHILADELPHIA,PA,6401 HORROCKS ST,"https://spruance.philasd.org/"
OAKS MIDDLE,ONTARIO,CA,1221 S. OAKS AVE.,"https://www.omsd.net/Oaks"
WEST-MEC - APOLLO HIGH SCHOOL,GLENDALE,AZ,8045 N. 47TH AVE.,"https://apollo.guhsdaz.org/blog/One.aspx?portalId=69779215"
SUN VALLEY EL,SAN ANTONIO,TX,6803 S W LOOP 410,"http://sve.swisd.net/"
PARCELAS MARIA,ANASCO,PR,CARR.402 KM.5 BO. MARIA,"https://vymaps.com/PR/Parcelas-Maria-340015376519194/"
MOSCONE (GEORGE R.) ELEMENTARY,SAN FRANCISCO,CA,2576 HARRISON ST.,"https://www.sfusd.edu/school/george-r-moscone-elementary-school"
SOUTHWESTERN CLASSICAL ACADEMY,FLINT,MI,1420 WEST 12TH ST,"https://swa.flintschools.org/"
SOUTHWEST CAREER AND TECHNICAL ACADEMY,LAS VEGAS,NV,7050 W. SHELBOURNE AVE.,"https://swcta.net/"
SCHOOL NO.17,PASSAIC,NJ,95-99 DAYTON AVE.,"https://passaicschools.org/school-no-17/"
ATKINSON ELEMENTARY SCHOOL,FREMONT,OH,1100 DELAWARE AVE,"https://www.fremontschools.net/Schools/Atkinson-Elementary/"
ARIZONA MIDDLE,RIVERSIDE,CA,11045 ARIZONA AVE.,"https://www.alvordschools.org/arizona"
EUGENIO BRAC,NAGUABO,PR,2 CALLE ANTONIO RIOS,"https://www.spellingcity.com/eugenio-brac-naguabo-pr.html"
BOYNTON ELEMENTARY SCHOOL,RINGGOLD,GA,3938 BOYNTON DR,"https://boy.catoosa.k12.ga.us/"
ACADEMY ADVENTURES PRIMARY SCHOOL,TUCSON,AZ,3902 NORTH FLOWING WELLS ROAD,"https://academyadventuresmidtown.com/"
LANKERSHIM ELEMENTARY,HIGHLAND,CA,7499 LANKERSHIM AVE.,"https://le-lausd-ca.schoolloop.com/"
OAK HARBOR MIDDLE SCHOOL,OAK HARBOR,OH,315 N CHURCH ST,"https://www.bcssd.com/oak-harbor-middle-school"
DAN MINI ELEMENTARY,VALLEJO,CA,1530 LORENZO DR.,"https://dmes-vcusd-ca.schoolloop.com/"
AVOYELLES HIGH SCHOOL,MOREAUVILLE,LA,287 MAIN STREET,"https://ahs.avoyellespsb.com/"
LANCASTER MIDDLE,LANCASTER,TX,822 W PLEASANT RUN RD,"https://www.lancasterisd.org/Domain/12"
HENDERSON COUNTY HIGH SCHOOL,HENDERSON,KY,2424 ZION RD,"https://hchs.henderson.kyschools.us/"
TAFT HIGH SCHOOL,CHICAGO,IL,6530 W BRYN MAWR AVE,"https://www.tafthighschool.org/"
BRODHEAD ELEMENTARY SCHOOL,BRODHEAD,KY,27 SCHOOL STREET,"http://rockcastle.kyschools.us/bes/"
DR. PAUL L. KELLEY VOLUNTEER ACADEMY,KNOXVILLE,TN,3001 KNOX CENTER DR,"https://www.knoxschools.org/kelley"
NORCO ELEMENTARY SCHOOL,NORCO,LA,102 FIFTH STREET,"https://www.stcharles.k12.la.us/norco"
DEER ISLE-STONINGTON HIGH SCH,DEER ISLE,ME,251 NORTH DEER ISLE RD,"http://www.dishs.org/"
WHIT DAVIS ROAD ELEMENTARY SCHOOL,ATHENS,GA,1450 WHIT DAVIS RD,"https://www.clarke.k12.ga.us/whitdavis"
ASDB/TUCSON DEAF SCHOOL,TUCSON,AZ,1200 W. SPEEDWAY,"https://asdb.az.gov/"
DD EISENHOWER HIGH SCH (CAMPUS),BLUE ISLAND,IL,12700 SACRAMENTO AVE,"https://eisenhower.chsd218.org/"
SISTER ROBERT JOSEPH BAILEY ELEMENTARY SCHOOL,LAS VEGAS,NV,4525 JIMMY DURANTE BLVD.,"http://schools.ccsd.net/sisterbailey"
SCHOOL 12,PATERSON,NJ,121 NORTH SECOND STREET,"https://ps12-pps-nj.schoolloop.com/"
LYMAN B. GOFF MIDDLE SCHOOL,PAWTUCKET,RI,974 NEWPORT AVENUE,"http://goff.pawtucket.schooldesk.net/"
ELLEN P. HUBBELL SCHOOL,BRISTOL,CT,90 WEST WASHINGTON ST.,"https://hubbell.bristol.k12.ct.us/"
