name,city,state,address,district
CENTRO RESIDENCIAL DE OPORTUNIDADES EDUCATIVAS DE VILLALBA,VILLALBA,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
LUDLOW ELEMENTARY - 06,LUDLOW,SD,,HARDING COUNTY SCHOOL DISTRICT 31-1
WILLIAM RIVERA BETANCOURT (BO SAN ISIDRO VOCACIONAL),CANOVANAS,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
UPI ELEMENTARY SCHOOL,YIGO,GU,,GUAM DEPARTMENT OF EDUCATION
WETTENGEL ELEMENTARY SCHOOL,DEDEDO,GU,,GUAM DEPARTMENT OF EDUCATION
AGUEDA JOHNSTON MIDDLE SCHOOL,ORDOT,GU,,GUAM DEPARTMENT OF EDUCATION
F.B. LEON GUERRERO MIDDLE SCHOOL,YIGO,GU,,GUAM DEPARTMENT OF EDUCATION
TARRANT CO COLLEGE SOUTH/FORT WORTH COLLEGIATE H S,FORT WORTH,TX,,FORT WORTH INDEPENDENT SCHOOL DISTRICT
T'IIS NAZBAS COMMUNITY SCHOOL,TEEC NOS POS,AZ,,T'IIS NAZBAS COMMUNITY SCHOOL
CORNERSTONE PREP DENVER CAMPUS,MEMPHIS,TN,,ACHIEVEMENT SCHOOL DISTRICT
WOODDALE MIDDLE SCHOOL,MEMPHIS,TN,,ACHIEVEMENT SCHOOL DISTRICT
KIPP MEMPHIS PREPARATORY ELEMENTARY,MEMPHIS,TN,,ACHIEVEMENT SCHOOL DISTRICT
THE EXCEL CENTER,MEMPHIS,TN,,SHELBY COUNTY
PIVOT CHARTER SCHOOL,TAMARAC,FL,,BROWARD
WOODLAND HIGH,MARBLE HILL,MO,,WOODLAND R-IV
WOODLAND ELEM.,MARBLE HILL,MO,,WOODLAND R-IV
TONALEA DAY SCHOOL,TONALEA,AZ,,TONALEA DAY SCHOOL
CHATTANOOGA CHARTER SCHOOL OF EXCELLENCE MIDDLE SCHOOL,CHATTANOOGA,TN,,HAMILTON COUNTY
OAKLAND ELEMENTARY,CLARKSVILLE,TN,,MONTGOMERY COUNTY
KNOWLEDGE ACADEMIES HIGH SCHOOL,ANTIOCH,TN,,DAVIDSON COUNTY
EXPLORE COMMUNITY SCHOOL,NASHVILLE,TN,,DAVIDSON COUNTY
WA HE LUT INDIAN SCHOOL,OLYMPIA,WA,,WA HE LUT INDIAN SCHOOL
CHEMAWA INDIAN SCHOOL,SALEM,OR,,CHEMAWA INDIAN SCHOOL
KIPP ACADEMY NASHVILLE ELEMENTARY SCHOOL,NASHVILLE,TN,,DAVIDSON COUNTY
WAVERLY-BELMONT ELEMENTARY SCHOOL,NASHVILLE,TN,,DAVIDSON COUNTY
NORTHVIEW JUNIOR ACADEMY,KODAK,TN,,SEVIER COUNTY
DR. WILLIAM BURRUS ELEMENTARY AT DRAKES CREEK,HENDERSONVILLE,TN,,SUMNER COUNTY
SUMNER COUNTY MIDDLE TECHNICAL COLLEGE HIGH AT PORTLAND,PORTLAND,TN,,SUMNER COUNTY
TIPTON COUNTY ALTERNATIVE LEARNING CENTER,COVINGTON,TN,,TIPTON COUNTY
PINELLAS PRIMARY ACADEMY,LARGO,FL,,PINELLAS
LAWTON CHILES ELEMENTARY,ORLANDO,FL,,ORANGE
BROKAW EARLY LEARNING CENTER,OSWEGO,IL,,CUSD 308
UPLIFT PEAK PREPARATORY MIDDLE,DALLAS,TX,,UPLIFT EDUCATION
SAGE CREEK ELEMENTARY,CHESTER,MT,,CHESTER-JOPLIN-INVERNESS EL
RIVERSIDE ACADEMY,ASHLAND CITY,TN,,CHEATHAM COUNTY
AVON SCHOOL,AVON,MT,,AVON ELEM
AYERS SCHOOL,GRASS RANGE,MT,,AYERS ELEM
OAK HILL ELEM.,SALEM,MO,,OAK HILL R-I
LUTIE HIGH,THEODOSIA,MO,,LUTIE R-VI
LUTIE ELEM.,THEODOSIA,MO,,LUTIE R-VI
RIPLEY CO. ELEM.,GATEWOOD,MO,,RIPLEY CO. R-III
OAK VIEW LEARNING CTR.,HAYTI,MO,,PEMISCOT CO. SPEC. SCH. DISTRICT.
ROUGHRIDER AREA CAREER & TECH CENTER,HEBRON,ND,,ROUGHRIDER AREA CAREER & TECHNICAL CENTER
DR AMERICO PAREDES EL,MISSION,TX,,LA JOYA INDEPENDENT SCHOOL DISTRICT
ELLIOTT COUNTY HIGH SCHOOL,SANDY HOOK,KY,,ELLIOTT COUNTY
WEST AREA,WESTBOROUGH,MA,,INSTITUTIONAL SCHOOLS
BRORSON SCHOOL,SIDNEY,MT,,BRORSON ELEM
KINSEY SCHOOL,KINSEY,MT,,KINSEY ELEM
DAVEY ELEMENTARY,HAVRE,MT,,DAVEY ELEM
SOUTH STACEY SCHOOL,VOLBORG,MT,,SOUTH STACEY ELEM
HARTLAND ELEMENTARY SCHOOL,HAVRE,MT,,CHINOOK ELEM
THE EXPEDITION SCHOOL,HILLSBOROUGH,NC,,THE EXPEDITION SCHOOL
GILDFORD COLONY SCHOOL,GILDFORD,MT,,GILDFORD COLONY ELEM
HAMMOND SCHOOL,HAMMOND,MT,,HAWKS HOME ELEM
NORTH HARLEM ELEMENTARY,HARLEM,MT,,NORTH HARLEM COLONY ELEM
SPRING CREEK COLONY SCHL,LEWISTOWN,MT,,SPRING CREEK COLONY ELEM
SPRINGHILL SCHOOL,BELGRADE,MT,,SPRINGHILL ELEM
NEW DISCOVERIES PRESCHOOL,BROKEN BOW,NE,,BROKEN BOW PUBLIC SCHOOLS
MARIANO ABRIL ELEMENTAL,CAGUAS,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
TWIN RIVERS CAREER & TECH ED AREA,VINCENNES,IN,,TWIN RIVERS CAREER & TECH ED AREA
GRAETTINGER-TERRIL MIDDLE SCHOOL,GRAETTINGER,IA,,GRAETTINGER-TERRIL COMM SCHOOL DISTRICT
LIFETECH ACADEMY,LANSING,MI,,LIFETECH ACADEMY
FLORIDA VIRTUAL ACADEMY AT PASCO,JACKSONVILLE,FL,,PASCO
MOUNTAIN VIEW ELEMENTARY,CUT BANK,MT,,MOUNTAIN VIEW ELEM
GOOSE CREEK SCHOOL,VALENTINE,NE,,VALENTINE COMMUNITY SCHOOLS
YOUNG LEARNERS,LA PORTE,TX,,SOUTHWEST SCHOOL
WINFREE ACADEMY CHARTER SCHOOL DALLAS,DALLAS,TX,,WINFREE ACADEMY CHARTER SCHOOLS
DISCIPLINARY ALTERNATIVE EDUCATION PROGRAM,CLEVELAND,TX,,CLEVELAND INDEPENDENT SCHOOL DISTRICT
MABANK DAEP,MABANK,TX,,MARTINS MILL INDEPENDENT SCHOOL DISTRICT
MORAN ELEMENTARY,JACKSON,WY,,TETON COUNTY SCHOOL DISTRICT #1
PHASE,PLYMOUTH,MN,,INTERMEDIATE SCHOOL DISTRICT 287
VECTOR LOW INCIDENCE,PLYMOUTH,MN,,INTERMEDIATE SCHOOL DISTRICT 287
SOUTHERN PLAINS AREA LEARNING CENTER.,WINNEBAGO,MN,,SOUTHERN PLAINS EDUCATION COOPERATIVE
MID STAT ED DIST. SUCCESS PROG.,UPSALA,MN,,MID STATE EDUCATION DISTRICT
SUCCESS ACADEMY,BLOOMINGTON,MN,,SUCCESS ACADEMY
PALM GLADES PREPARATORY ACADEMY,MIAMI,FL,,MIAMI-DADE
CIRCUIT BREAKER SCHOOL,PERU,IL,,LASALLE PUTNAM ALLIANCE
MONTELLO ELEMENTARY SCHOOL,MONTELLO,NV,,ELKO COUNTY SCHOOL DISTRICT
INDEPENDENCE VALLEY ELEMENTARY SCHOOL,TUSCARORA,NV,,ELKO COUNTY SCHOOL DISTRICT
UPLIFT SUMMIT INTERNATIONAL H S,ARLINGTON,TX,,UPLIFT EDUCATION
UPLIFT SUMMIT INTERNATIONAL MIDDLE,ARLINGTON,TX,,UPLIFT EDUCATION
INFINITY INSTITUTE,JERSEY CITY,NJ,,JERSEY CITY PUBLIC SCHOOLS
UPLIFT HEIGHTS PREPARATORY MIDDLE,DALLAS,TX,,UPLIFT EDUCATION
UPLIFT HEIGHTS PREPARATORY H S,DALLAS,TX,,UPLIFT EDUCATION
UPLIFT MIGHTY SCHOOL,FORT WORTH,TX,,UPLIFT EDUCATION
FREDERIC A. PRIFF ELEMENTARY SCHOOL,WARETOWN,NJ,,OCEAN TOWNSHIP SCHOOL DISTRICT
UPLIFT TRIUMPH PREPARATORY SCHOOL,DALLAS,TX,,UPLIFT EDUCATION
CUMBERLAND H S,TYLER,TX,,CUMBERLAND ACADEMY
THE GREAT ACADEMY,ALBUQUERQUE,NM,,THE GREAT ACADEMY
LA TIERRA MONTESSORI SCHOOL OF THE ARTS AND SCIENCES,ESPANOLA,NM,,LA TIERRA MONTESSORI SCHOOL OF THE ARTS AND SCIENCES
ALTAMIRA ACADEMY,AUSTIN,TX,,WAYSIDE SCHOOLS
EXCEL ACADEMY EDUCATION TRANSITION CENTER,HOUSTON,TX,,EXCEL ACADEMY
JHW INSPIRE ACADEMY - WILLIAMS HOUSE,LOMETA,TX,,INSPIRE ACADEMIES
JHW INSPIRE ACADEMY - LEGACY RANCH,GONZALES,TX,,INSPIRE ACADEMIES
LIFE MIDDLE WAXAHACHIE,WAXAHACHIE,TX,,LIFE SCHOOL
HOUSTON BEHAVIORAL HEALTHCARE,HOUSTON,TX,,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL
GEORGETOWN BEHAVIORAL HEALTH INSTITUTE,GEORGETOWN,TX,,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL
SHRINERS HOSPITALS FOR CHILDREN,HOUSTON,TX,,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL
OAK CLIFF FAITH FAMILY ACADEMY,DALLAS,TX,,WAXAHACHIE FAITH FAMILY ACADEMY
FOUNDERS CLASSICAL ACADEMY OF FLOWER MOUND,FLOWER MOUND,TX,,TEXAS COLLEGE PREPARATORY ACADEMIES
CORINTH CLASSICAL ACADEMY,CORINTH,TX,,TEXAS COLLEGE PREPARATORY ACADEMIES
MAINLAND PREPARATORY ACADEMY,LA MARQUE,TX,,TEXAS COLLEGE PREPARATORY ACADEMIES
PREMIER HIGH SCHOOL OF PFLUGERVILLE,PFLUGERVILLE,TX,,PREMIER HIGH SCHOOLS
PREMIER HIGH SCHOOL OF EAST EL PASO,EL PASO,TX,,PREMIER HIGH SCHOOLS
