name,city,state,address,district
MOTT HALL SCHOOL (THE),NEW YORK,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT # 6
FISHER ES,OKLAHOMA CITY,OK,,MOORE
AUSTIN EL,ABILENE,TX,,ABILENE INDEPENDENT SCHOOL DISTRICT
STUBBLEFIELD LRN CTR,LUFKIN,TX,,CENTRAL INDEPENDENT SCHOOL DISTRICT
CHALLENGE ACADEMY,WACO,TX,,CHINA SPRING INDEPENDENT SCHOOL DISTRICT
ALAMO EL,BAYTOWN,TX,,GOOSE CREEK CONSOLIDATED INDEPENDENT SCHOOL DISTRICT
L B JOHNSON EL,EDINBURG,TX,,EDINBURG CONSOLIDATED INDEPENDENT SCHOOL DISTRICT
CUMBERLAND MIDDLE,CUMBERLAND,VA,,CUMBERLAND CO PUBLIC SCHOOLS
NORTHSHORE NETWORKS,BOTHELL,WA,,NORTHSHORE SCHOOL DISTRICT
UNIVERSITY HIGH SCHOOL,MORGANTOWN,WV,,MONONGALIA COUNTY SCHOOLS
WAYNE ELEMENTARY SCHOOL,WAYNE,WV,,WAYNE COUNTY SCHOOLS
NOB HILL ELEMENTARY SCHOOL,SUNRISE,FL,,BROWARD
WENDELL MIDDLE SCHOOL,WENDELL,ID,,WENDELL DISTRICT
CALHOUN ELEMENTARY/ JR HIGH SCH,HARDIN,IL,,CALHOUN CONSOLIDATED UNIT SCHOOL DISTRICT 40
SCHRAMM EDUCATION CENTER,PEKIN,IL,,TAZEWELL-MASON CNTYS SP ED ASSOC
POPLAR BLUFF HIGH,POPLAR BLUFF,MO,,POPLAR BLUFF R-I
IPS/ BUTLER UNIVERSITY LAB SCH 60,INDIANAPOLIS,IN,,INDIANAPOLIS PUBLIC SCHOOLS
ARAPAHOE CHARTER HIGH SCHOOL,ARAPAHOE,WY,,FREMONT COUNTY SCHOOL DISTRICT #38
NORTHWOODS ELEMENTARY,CARY,NC,,WAKE COUNTY SCHOOLS
WASHINGTON ES,CLINTON,OK,,CLINTON
JEFFERSON ELEMENTARY,BEAVER DAM,WI,,BEAVER DAM UNIFIED SCHOOL DISTRICT
BRIGHT HORIZONS,POMPANO BEACH,FL,,BROWARD
WARREN ROAD ELEMENTARY SCHOOL,AUGUSTA,GA,,RICHMOND COUNTY
WILLIAMSON COUNTY JJAEP,GEORGETOWN,TX,,FLORENCE INDEPENDENT SCHOOL DISTRICT
RIDGELAND-DALLAS ELEMENTARY,RIDGELAND,WI,,BARRON AREA SCHOOL DISTRICT
MEDINAH PRIMARY SCHOOL,MEDINAH,IL,,MEDINAH SD 11
ALCOTT ELEMENTARY SCHOOL,HASTINGS,NE,,HASTINGS PUBLIC SCHOOLS
FROHARDTELEMENTARYSCHOOL,GRANITE CITY,IL,,GRANITE CITY CONSOLIDATED UNIT SCHOOL DISTRICT 9
WILLIAM PINDERHUGHES ELEMENTARY,BALTIMORE,MD,,BALTIMORE CITY PUBLIC SCHOOLS
VIKING ELEMENTARY SCHOOL,PELICAN RAPIDS,MN,,PELICAN RAPIDS PUBLIC SCHOOL DISTRICT.
APPLETON ELEMENTARY,APPLETON,MN,,LAC QUI PARLE VALLEY SCHOOL DISTRICT.
OLENTANGY LIBERTY MIDDLE SCHOOL,POWELL,OH,,OLENTANGY LOCAL
TUSCULUM ELEMENTARY,NASHVILLE,TN,,DAVIDSON COUNTY
BAIN ELEMENTARY,CHEYENNE,WY,,LARAMIE COUNTY SCHOOL DISTRICT #1
NORTHSIDE JR/SR HIGH SCHOOL,JEROME,ID,,JEROME JOINT DISTRICT
NEW SWEDEN CONSOLIDATED SCHOOL,NEW SWEDEN,ME,,NEW SWEDEN PUBLIC SCHOOLS
INSPIRE VIRTUAL CHARTER SCHOOL,BOISE,ID,,INSPIRE ACADEMICS INC.
MCMILLAN ELEMENTARY,BOISE,ID,,JOINT SCHOOL DISTRICT NO. 2
MARGARETTA ELEMENTARY SCHOOL,CASTALIA,OH,,MARGARETTA LOCAL
FRANCES C. RICHMOND SCHOOL,HANOVER,NH,,DRESDEN SCHOOL DISTRICT
SCOTTSBURG SENIOR HIGH SCHOOL,SCOTTSBURG,IN,,SCOTT COUNTY SCHOOL DISTRICT 2
LAKELANDS PARK MIDDLE,GAITHERSBURG,MD,,MONTGOMERY COUNTY PUBLIC SCHOOLS
HENNING ELEMENTARY,HENNING,MN,,HENNING PUBLIC SCHOOL DISTRICT
B. BANNEKER ELEM.,KANSAS CITY,MO,,KANSAS CITY 33
SOUTH MIDDLE,RAYTOWN,MO,,RAYTOWN C-2
SOUTH PARK HIGH SCHOOL,BUFFALO,NY,,BUFFALO CITY SCHOOL DISTRICT
CRISPELL MIDDLE SCHOOL,PINE BUSH,NY,,PINE BUSH CENTRAL SCHOOL DISTRICT
PINE FOREST HIGH,FAYETTEVILLE,NC,,CUMBERLAND COUNTY SCHOOLS
BLAND EL,CELESTE,TX,,BLAND INDEPENDENT SCHOOL DISTRICT
EASTERN HIGH SCHOOL,WINCHESTER,OH,,EASTERN LOCAL SCHOOL DISTRICT
FLOYDADA H S,FLOYDADA,TX,,FLOYDADA INDEPENDENT SCHOOL DISTRICT
TINSLEY EL,HOUSTON,TX,,HOUSTON INDEPENDENT SCHOOL DISTRICT
WOODMONT HIGH,PIEDMONT,SC,,GREENVILLE 01
CRAWFORD EL,CRAWFORD,TX,,CRAWFORD INDEPENDENT SCHOOL DISTRICT
PRINCE WILLIAM JUV. DETENTION HOME,MANASSAS,VA,,DOE SOP EDUC PROGRAMS
NORTHERN WISCONSIN CENTER,CHIPPEWA FALLS,WI,,WISCONSIN DEPARTMENT OF HEALTH SERVICES
CLIFF PARK HIGH SCHOOL,SPRINGFIELD,OH,,CLIFF PARK HIGH SCHOOL
GILBERT MIDDLE SCHOOL,GILBERT,WV,,MINGO COUNTY SCHOOLS
CARL E SCHLUTER EL,HASLET,TX,,NORTHWEST INDEPENDENT SCHOOL DISTRICT
SOUTHWESTERN HIGH SCHOOL,SHELBYVILLE,IN,,SOUTHWESTERN CON SCH SHELBY CO
CASCADE ELEMENTARY,WARTRACE,TN,,BEDFORD COUNTY
SMITH-HALE MIDDLE,KANSAS CITY,MO,,HICKMAN MILLS C-1
PRAIRIE VIEW ELEM.,LEE'S SUMMIT,MO,,LEE'S SUMMIT R-VII
CENTRAL VIEW ELEMENTARY,WALLING,TN,,WHITE COUNTY
LLANO J H,LLANO,TX,,LLANO INDEPENDENT SCHOOL DISTRICT
MANATEE SCHOOL FOR THE ARTS,PALMETTO,FL,,MANATEE
FREEMAN ELEMENTARY SCHOOL,WARRENTON,GA,,WARREN COUNTY
SHOEMAKER EL SCH,MACUNGIE,PA,,EAST PENN SD
FOREST HILLS TRANSITION CENTER,GRAND RAPIDS,MI,,FOREST HILLS PUBLIC SCHOOLS
HIGH SCHOOL OF FASHION INDUSTRIES (THE),NEW YORK,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT # 2
NORTHSIDE MIDDLE,GREENWOOD,SC,,GREENWOOD 50
PS 181 BROOKFIELD,SPRINGFIELD GARDENS,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #29
PERRY EL SCH,SHOEMAKERSVILLE,PA,,HAMBURG AREA SD
BELLEFONTE AREA MS,BELLEFONTE,PA,,BELLEFONTE AREA SD
ROSEWOOD ELEMENTARY,ROCK HILL,SC,,YORK 03
HOOKENA ELEMENTARY SCHOOL,CAPTAIN COOK,HI,,HAWAII DEPARTMENT OF EDUCATION
CASTOR HIGH SCHOOL,CASTOR,LA,,BIENVILLE PARISH
TATNUCK,WORCESTER,MA,,WORCESTER
PELAHATCHIE ATTENDANCE CENTER,PELAHATCHIE,MS,,RANKIN CO SCHOOL DISTRICT
WALNUT CREEK ELEMENTARY,PAPILLION,NE,,PAPILLION LA VISTA COMMUNITY SCHOOLS
WILLSBORO CENTRAL SCHOOL,WILLSBORO,NY,,WILLSBORO CENTRAL SCHOOL DISTRICT
MONTOURSVILLE AREA SHS,MONTOURSVILLE,PA,,MONTOURSVILLE AREA SD
ETHRIDGE EL,GARLAND,TX,,GARLAND INDEPENDENT SCHOOL DISTRICT
CREEKSIDE EL,LEWISVILLE,TX,,LEWISVILLE INDEPENDENT SCHOOL DISTRICT
POINT ALTERNATIVE CENTER,BAYTOWN,TX,,GOOSE CREEK CONSOLIDATED INDEPENDENT SCHOOL DISTRICT
IDEA SOUTH FLORES ACADEMY,SAN ANTONIO,TX,,IDEA PUBLIC SCHOOLS
MISSION ROAD ELEMENTARY SCHOOL,CARTERSVILLE,GA,,BARTOW COUNTY
KIOWA COUNTY HIGH SCHOOL,GREENSBURG,KS,,KIOWA COUNTY
FORT COBB-BROXTON LOWER ES,FORT COBB,OK,,FORT COBB-BROXTON
TENKILLER PUBLIC SCHOOL,WELLING,OK,,TENKILLER
DOGWOOD ELEMENTARY,RESTON,VA,,FAIRFAX CO PUBLIC SCHOOLS
ANDOVER MIDDLE SCHOOL,MIAMI,FL,,MIAMI-DADE
SOUTH CENTRAL CALHOUN ELEMENTARY BUILDING,ROCKWELL CITY,IA,,SOUTH CENTRAL CALHOUN COMM SCHOOL DISTRICT
ELIOT HINE MS,WASHINGTON,DC,,DISTRICT OF COLUMBIA PUBLIC SCHOOLS
INDIANOLA MIDDLE SCHOOL,INDIANOLA,IA,,INDIANOLA COMM SCHOOL DISTRICT
HICKORY ELEMENTARY,WILLIAMSPORT,MD,,WASHINGTON COUNTY PUBLIC SCHOOLS
NORTH BRANCH MIDDLE SCHOOL,NORTH BRANCH,MI,,NORTH BRANCH AREA SCHOOLS
NETTLETON UPPER ELEMENTARY SCHOOL,NETTLETON,MS,,NETTLETON SCHOOL DISTRICT
BROOKSELEMENTARYSCHOOL,DUNCAN,MS,,NORTH BOLIVAR CONS SCHOOL DISTRICT
TORNILLO H S,TORNILLO,TX,,TORNILLO INDEPENDENT SCHOOL DISTRICT
KNOX WILEY MIDDLE,LEANDER,TX,,LEANDER INDEPENDENT SCHOOL DISTRICT
MOUNT VIEW ELEMENTARY,SEATTLE,WA,,HIGHLINE SCHOOL DISTRICT
CLARK ELEMENTARY,EVANSTON,WY,,UINTA COUNTY SCHOOL DISTRICT #1
EVERGREEN EL SCH,COLLEGEVILLE,PA,,PERKIOMEN VALLEY SD
BROWN COUNTY HIGH SCHOOL,MOUNT STERLING,IL,,BROWN COUNTY CONSOLIDATED UNIT SCHOOL DISTRICT 1
ARTHUR FROBERGELEMENTARYSCHOOL,ROCKFORD,IL,,ROCKFORD SD 205
OKEMAH HS,OKEMAH,OK,,OKEMAH
BLACKSBURG MIDDLE,BLACKSBURG,SC,,CHEROKEE 01
UNAKA ELEMENTARY,ELIZABETHTON,TN,,CARTER COUNTY
WESTBRIAR ELEMENTARY,VIENNA,VA,,FAIRFAX CO PUBLIC SCHOOLS
WASHINGTON MIDDLE SCHOOL,YAKIMA,WA,,YAKIMA SCHOOL DISTRICT
LA FARGE ELEMENTARY,LA FARGE,WI,,LA FARGE SCHOOL DISTRICT
OLLIE DETWILER ELEMENTARY SCHOOL,LAS VEGAS,NV,,CLARK COUNTY SCHOOL DISTRICT
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,BRONX,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #12
COLONIAL HEIGHTS HIGH,COLONIAL HEIGHTS,VA,,COLONIAL HEIGHTS CITY PUBLIC SCHOOLS
HILBERT MIDDLE,HILBERT,WI,,HILBERT SCHOOL DISTRICT
FRANKLIN HIGH SCHOOL,FRANKLIN,OH,,FRANKLIN CITY
FRAZIER MS,PERRYOPOLIS,PA,,FRAZIER SD
GREENVILLE MIDDLE ACADEMY,GREENVILLE,SC,,GREENVILLE 01
RAMON FRADE LEON,CAYEY,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
RED RIVER AREA LEARNING CENTER,MOORHEAD,MN,,MOORHEAD PUBLIC SCHOOL DISTRICT
JENSEN ELEMENTARY SCHOOL,URBANDALE,IA,,URBANDALE COMM SCHOOL DISTRICT
LAWRENCE HIGH SCHOOL,LAWRENCEVILLE,NJ,,LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT
IS 219 NEW VENTURE SCHOOL,BRONX,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT # 9
PS 63 OLD SOUTH,OZONE PARK,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #27
YOUNGSVILLE EL/MS,YOUNGSVILLE,PA,,WARREN COUNTY SD
EAST SIDE HIGH SCHOOL,CLEVELAND,MS,,CLEVELAND SCHOOL DISTRICT
SHERARD ELEMENTARY SCHOOL,CLARKSDALE,MS,,COAHOMA COUNTY SCHOOL DISTRICT
GRANDVIEW ELEM.,HILLSBORO,MO,,GRANDVIEW R-II
C B ELLER ELEMENTARY,ELKIN,NC,,WILKES COUNTY SCHOOLS
BATAVIA MIDDLE SCHOOL,BATAVIA,OH,,BATAVIA LOCAL
OLNEY ELEMENTARY SCHOOL,NORTHWOOD,OH,,NORTHWOOD LOCAL SCHOOLS
BAYLOR COLLEGE OF MEDICINE BIOTECH ACADEMY AT RUSK,HOUSTON,TX,,HOUSTON INDEPENDENT SCHOOL DISTRICT
DAVID EL,THE WOODLANDS,TX,,CONROE INDEPENDENT SCHOOL DISTRICT
JOSE GUALBERTO PADILLA,ARECIBO,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
HAMILTON ELEM.,HAMILTON,MO,,HAMILTON R-II
MAXWELL COLONY ELEMENTARY - 04,SCOTLAND,SD,,MENNO SCHOOL DISTRICT 33-2
MARY WILLIAMS ELEMENTARY,DUMFRIES,VA,,PRINCE WILLIAM CO PUBLIC SCHOOLS
TISHOMINGO CO ALTERNATIVE SCHOOL,TISHOMINGO,MS,,TISHOMINGO CO SP MUN SCH DISTRICT
BEUTLER MIDDLE SCHOOL,DAYTON,ID,,WEST SIDE JOINT DISTRICT
GOLF MIDDLE SCHOOL,MORTON GROVE,IL,,GOLF ESD 67
FOREST PARK MIDDLE SCHOOL,FOREST PARK,IL,,FOREST PARK SD 91
HIAWATHA MIDDLE SCHOOL,HIAWATHA,KS,,HIAWATHA
DANSVILLE HIGH SCHOOL,DANSVILLE,MI,,DANSVILLE SCHOOLS
LEONARDO DA VINCI HIGH SCHOOL,BUFFALO,NY,,BUFFALO CITY SCHOOL DISTRICT
BENSON HILL ELEMENTARY SCHOOL,RENTON,WA,,RENTON SCHOOL DISTRICT
REARDAN ELEMENTARY SCHOOL,REARDAN,WA,,REARDAN-EDWALL SCHOOL DISTRICT
GREENCASTLE ELEMENTARY,SILVER SPRING,MD,,MONTGOMERY COUNTY PUBLIC SCHOOLS
GODWIN EL,PRINCETON,TX,,PRINCETON INDEPENDENT SCHOOL DISTRICT
EPSOM CENTRAL SCHOOL,EPSOM,NH,,EPSOM SCHOOL DISTRICT
STILLWATER MS,STILLWATER,OK,,STILLWATER
VICTORY EARLY COLLEGE H S,HOUSTON,TX,,ALDINE INDEPENDENT SCHOOL DISTRICT
HAMILTON INTERNATIONAL MIDDLE SCHOOL,SEATTLE,WA,,SEATTLE SCHOOL DISTRICT NO. 1
BERTA WEATHERSBEE ELEMENTARY SCHOOL,LAGRANGE,GA,,TROUP COUNTY
MONROE MIDDLE SCHOOL,WHEATON,IL,,CUSD 200
COULSTON ELEMENTARY SCHOOL,SHELBYVILLE,IN,,SHELBYVILLE CENTRAL SCHOOLS
VALE MIDDLE SCHOOL,VALE,OR,,VALE SD 84
LACY EL,PRINCETON,TX,,PRINCETON INDEPENDENT SCHOOL DISTRICT
NORTH HAMILTON ELEMENTARY,SALE CREEK,TN,,HAMILTON COUNTY
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),KILLEEN,TX,,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN)
FLINT SPRINGS ELEMENTARY,HUNTINGTON,IN,,HUNTINGTON CO COM SCH CORPORATION
JEFFERSON INTERMEDIATE CENTER,SOUTH BEND,IN,,SOUTH BEND COMMUNITY SCHOOL CORPORATION
CHERRY VIEW ELEMENTARY,LAKEVILLE,MN,,LAKEVILLE PUBLIC SCHOOL DISTRICT
ROY HIGH,ROY,NM,,ROY MUNICIPAL SCHOOLS
NEW HANOVER TOWNSHIP SCHOOL,WRIGHTSTOWN,NJ,,NEW HANOVER TOWNSHIP
HOUSE ELEMENTARY,HOUSE,NM,,HOUSE MUNICIPAL SCHOOLS
RIO RANCHO MIDDLE SCHOOL,RIO RANCHO,NM,,RIO RANCHO PUBLIC SCHOOLS
EAST COVENTRY EL SCH,POTTSTOWN,PA,,OWEN J ROBERTS SD
PATHWAYS ROE 11,MATTOON,IL,,CLK/CLS/CMBN/DGLAS/EDGR/MLTR/SHLB
MENOMINEE ELEMENTARY SCHOOL,PLYMOUTH,IN,,PLYMOUTH COMMUNITY SCHOOL CORPORATION
EAGLE VIEW ELEMENTARY,BREEZY POINT,MN,,PEQUOT LAKES PUBLIC SCHOOLS
LONGVIEW FARM ELEM.,LEE'S SUMMIT,MO,,LEE'S SUMMIT R-VII
SANDWICH MIDDLE SCHOOL,SANDWICH,IL,,SANDWICH CONSOLIDATED UNIT SCHOOL DISTRICT 430
ESCUELA DE BELLAS ARTES (ESPECIALIZADA),ARECIBO,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
RAFAEL HERNANDEZ,SAN JUAN,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
DOUGLASS HIGH,DOUGLASS,KS,,DOUGLASS PUBLIC SCHOOLS
CORDOVA SCHOOL,CORDOVA,NC,,RICHMOND COUNTY SCHOOLS
ENDERS ROAD ELEMENTARY SCHOOL,MANLIUS,NY,,FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT
WOODSTOCK SCHOOL,SALT LAKE CITY,UT,,GRANITE DISTRICT
SOUTH ELEMENTARY,DISPUTANTA,VA,,PRINCE GEORGE CO PUBLIC SCHOOLS
FARSON-EDEN MIDDLE SCHOOL,FARSON,WY,,SWEETWATER COUNTY SCHOOL DISTRICT #1
COFFEEVILLE ELEMENTARY SCHOOL,COFFEEVILLE,MS,,COFFEEVILLE SCHOOL DISTRICT
SPRING RIDGE ELEMENTARY,OMAHA,NE,,ELKHORN PUBLIC SCHOOLS
WATCHUNG ELEMENTARY SCHOOL,MIDDLESEX,NJ,,MIDDLESEX BOROUGH SCHOOL DISTRICT
WARING LAURA W SCH,PHILADELPHIA,PA,,PHILADELPHIA CITY SD
NEFF ECC,HOUSTON,TX,,HOUSTON INDEPENDENT SCHOOL DISTRICT
MARYSVILLE ARTS AND TECHNOLOGY HIGH SCHOOL,MARYSVILLE,WA,,MARYSVILLE SCHOOL DISTRICT
OAKESDALE ELEMENTARY SCHOOL,OAKESDALE,WA,,OAKESDALE SCHOOL DISTRICT
SNO-ISLE SKILLS CENTER,EVERETT,WA,,MUKILTEO SCHOOL DISTRICT
R. V. DANIELS ELEMENTARY SCHOOL,JACKSONVILLE,FL,,DUVAL
DR. JAMES A. FORREST CAREER AND TECHNOLOGY CENTER,LEONARDTOWN,MD,,ST. MARY'S COUNTY PUBLIC SCHOOLS
GREENWAY MIDDLE,COLERAINE,MN,,GREENWAY PUBLIC SCHOOL DISTRICT
SICOMAC ELEMENTARY SCHOOL,WYCKOFF,NJ,,WYCKOFF TOWNSHIP PUBLIC SCHOOL DISTRICT
G AUSTIN SCHOENLY ELEMENTARY SCHOOL,SPOTSWOOD,NJ,,SPOTSWOOD PUBLIC SCHOOL DISTRICT
MINETTO ELEMENTARY SCHOOL,MINETTO,NY,,OSWEGO CITY SCHOOL DISTRICT
BOONVILLE ELEMENTARY,BOONVILLE,NC,,YADKIN COUNTY SCHOOLS
BEN FRANKLIN ELEMENTARY SCHOOL,GRAND FORKS,ND,,GRAND FORKS 1
GREENWICH-LENHARTSVILLE EL SCH,LENHARTSVILLE,PA,,KUTZTOWN AREA SD
CROSS ROADS EL,MALAKOFF,TX,,CROSS ROADS INDEPENDENT SCHOOL DISTRICT
ELECTRA EL,ELECTRA,TX,,ELECTRA INDEPENDENT SCHOOL DISTRICT
WEBER HIGH,OGDEN,UT,,WEBER DISTRICT
FOCUS LEARNING ACADEMY OF SOUTHWEST COLUMBUS,COLUMBUS,OH,,FOCUS LEARNING ACADEMY OF SOUTHWEST COLUMBUS
GLENROCK MIDDLE SCHOOL,GLENROCK,WY,,CONVERSE COUNTY SCHOOL DISTRICT #2
LAMBOGLIA,PATILLAS,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
MILAN MIDDLE SCHOOL,MILAN,IN,,MILAN COMMUNITY SCHOOLS
JOHNSON CO CENTRAL MIDDLE SCH,COOK,NE,,JOHNSON CO CENTRAL PUBLIC SCHS
WEST AVENUE SCHOOL,BRIDGETON,NJ,,BRIDGETON CITY SCHOOL DISTRICT
UNATEGO JUNIOR-SENIOR HIGH SCHOOL,OTEGO,NY,,OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT
WELCOME ELEMENTARY,LEXINGTON,NC,,DAVIDSON COUNTY SCHOOLS
NORTH HENDERSON HIGH,HENDERSONVILLE,NC,,HENDERSON COUNTY SCHOOLS
GARRISON MIDDLE,GARRISON,TX,,GARRISON INDEPENDENT SCHOOL DISTRICT
GRAPE CREEK MIDDLE,SAN ANGELO,TX,,GRAPE CREEK INDEPENDENT SCHOOL DISTRICT
WOODBRIDGE ELEMENTARY SCHOOL,TAMPA,FL,,HILLSBOROUGH
OVERBROOK ATTENDANCE CENTER,OVERBROOK,KS,,SANTA FE TRAIL
OWSLEY COUNTY HIGH SCHOOL,BOONEVILLE,KY,,OWSLEY COUNTY
GREEN INTERMEDIATE ELEMENTARY SCHOOL,UNIONTOWN,OH,,GREEN LOCAL
CEDAR HILLS ELEMENTARY,OAK CREEK,WI,,OAK CREEK-FRANKLIN JOINT SCHOOL DISTRICT
WOODSIDE ELEMENTARY,SUSSEX,WI,,HAMILTON SCHOOL DISTRICT
OUTLOOK ACADEMY YOUTH HOME CAMPUS,ALLEGAN,MI,,OUTLOOK ACADEMY
NORTH STAR ELEMENTARY SCHOOL,CANDO,ND,,NORTH STAR 10
ROCK CREEK ES,DURANT,OK,,ROCK CREEK
KEYS ES,PARK HILL,OK,,KEYS
LAMAR COUNTY ELEMENTARY SCHOOL,BARNESVILLE,GA,,LAMAR COUNTY
EAST ST LOUIS SENIOR HIGH SCHOOL,EAST SAINT LOUIS,IL,,EAST ST LOUIS SD 189
LEACH PUBLIC SCHOOL,ROSE,OK,,LEACH
PARADISE KNOLL ELEMENTARY SCHOOL,OAK RIDGE,NJ,,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT
MAMIE WHITESIDES ELEMENTARY,MT. PLEASANT,SC,,CHARLESTON 01
SHEPHERD INT,SHEPHERD,TX,,SHEPHERD INDEPENDENT SCHOOL DISTRICT
DE FOREST HIGH,DE FOREST,WI,,DE FOREST AREA SCHOOL DISTRICT
CARVER ACADEMY,MILWAUKEE,WI,,MILWAUKEE SCHOOL DISTRICT
W E CHERRY ELEMENTARY SCHOOL,ORANGE PARK,FL,,CLAY
GRISSOM EL,HOUSTON,TX,,HOUSTON INDEPENDENT SCHOOL DISTRICT
TAYLOR VIRTUAL INSTRUCTION PROGRAM,PERRY,FL,,TAYLOR
PATRIOTS ELEMENTARY,CONCORD,NC,,CABARRUS COUNTY SCHOOLS
SAMUEL W. WOLFSON HIGH SCHOOL,JACKSONVILLE,FL,,DUVAL
NINOS HEROESELEMENTARYACADEMIC CTR,CHICAGO,IL,,CITY OF CHICAGO SD 299
COLUMBIA ELEMENTARY SCHOOL,HAMMOND,IN,,SCHOOL CITY OF HAMMOND
REGION 2 JUVENILE DETENTION CENTER,LEWISTON,ID,,LEWISTON INDEPENDENT DISTRICT
LABELLE AIRE ELEMENTARY SCHOOL,BATON ROUGE,LA,,EAST BATON ROUGE PARISH
PERRY HALL HIGH,BALTIMORE,MD,,BALTIMORE COUNTY PUBLIC SCHOOLS
NORTH BROOK ELEMENTARY,VALE,NC,,LINCOLN COUNTY SCHOOLS
MILLENNIUM CHARTER ACADEMY,MOUNT AIRY,NC,,MILLENNIUM CHARTER ACADEMY
FARRELL LOUIS H SCH,PHILADELPHIA,PA,,PHILADELPHIA CITY SD
CHICORA ELEMENTARY,NORTH CHARLESTON,SC,,CHARLESTON 01
LEE EL,EL PASO,TX,,EL PASO INDEPENDENT SCHOOL DISTRICT
DR EFRAIN GONZALEZ TEJERA,UTUADO,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
BIG BEAVER EL SCH,DARLINGTON,PA,,BIG BEAVER FALLS AREA SD
RICHMOND EL SCH,FLEETWOOD,PA,,FLEETWOOD AREA SD
ANNIE R. MORGAN ELEMENTARY SCHOOL,JACKSONVILLE,FL,,DUVAL
GEORGE WASHINGTON CARVER FRESHMAN CAMPUS,DOUGLAS,GA,,COFFEE COUNTY
CONYERS MIDDLE SCHOOL,CONYERS,GA,,ROCKDALE COUNTY
CHASE ELEM,CHASE,KS,,CHASE-RAYMOND
HENRY DEFER INTERMEDIATE ELEMENTARY SCHOOL,STREETSBORO,OH,,STREETSBORO CITY
ROYALL ELEMENTARY,FLORENCE,SC,,FLORENCE 01
SWANSEA HIGH,SWANSEA,SC,,LEXINGTON 04
CHADWELL ELEMENTARY,MADISON,TN,,DAVIDSON COUNTY
RANDOLPH H S,RANDOLPH A F B,TX,,RANDOLPH FIELD INDEPENDENT SCHOOL DISTRICT
LIBERTY BELL JR SR HIGH,WINTHROP,WA,,METHOW VALLEY SCHOOL DISTRICT
NELLIE MUIR ELEMENTARY SCHOOL,WOODBURN,OR,,WOODBURN SD 103
DISCOVERY SCHOOL,BRIGHAM CITY,UT,,BOX ELDER DISTRICT
ASHLEY SCHOOL,VERNAL,UT,,UINTAH DISTRICT
DELAWARE VALLEY HS,MILFORD,PA,,DELAWARE VALLEY SD
WARREN L MILLER EL SCH,MANSFIELD,PA,,SOUTHERN TIOGA SD
WESTERN COVENTRY SCHOOL,COVENTRY,RI,,COVENTRY
BREHMS LANE PUBLIC CHARTER SCHOOL,BALTIMORE,MD,,BALTIMORE CITY PUBLIC SCHOOLS
WOLF CREEK ES,BROKEN ARROW,OK,,BROKEN ARROW
KAPOSIA EDUCATION CENTER ELEMENTARY,SOUTH SAINT PAUL,MN,,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT
LEMAY ELEMENTARY SCHOOL,BELLEVUE,NE,,BELLEVUE PUBLIC SCHOOLS
CONCORD ELEMENTARY,ANDERSON,SC,,ANDERSON 05
LADY'S ISLAND ELEMENTARY,BEAUFORT,SC,,BEAUFORT 01
WEST SIDE CTC,KINGSTON,PA,,WEST SIDE CTC
WOODWAY EL,WACO,TX,,MIDWAY INDEPENDENT SCHOOL DISTRICT
WASHINGTON-WILKES COMPREHENSIVE HIGH SCHOOL,WASHINGTON,GA,,WILKES COUNTY
J. L. MANN HIGH ACADEMY,GREENVILLE,SC,,GREENVILLE 01
MCDONALD GREEN ELEMENTARY,LANCASTER,SC,,LANCASTER 01
TIMBER LAKES ELEMENTARY,ORLANDO,FL,,ORANGE
OCKERMAN MIDDLE SCHOOL,FLORENCE,KY,,BOONE COUNTY
SHARP PARK ACADEMY,JACKSON,MI,,JACKSON PUBLIC SCHOOLS
MILL CREEK MIDDLE SCHOOL,COMSTOCK PARK,MI,,COMSTOCK PARK PUBLIC SCHOOLS
BETHANY CRISES SHELTER,DULUTH,MN,,DULUTH PUBLIC SCHOOL DISTRICT
ESSEX CO YOUTH HOUSE,NEWARK,NJ,,OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION
LAKE CREEK LEARNING CENTER,EAGLE POINT,OR,,EAGLE POINT SD 9
TADLOCK EL,FRISCO,TX,,FRISCO INDEPENDENT SCHOOL DISTRICT
