name,business_type,state_registered,street_registered,city_registered,zip5_registered,corp_id
"TKI HEATING AND AIR, LLC.",LLC,AL,,,,010725
"BROOKS ADVISORY PARTNERS, LLC",LLC,AL,,,,010730
"LIME PRODUCTS,LLC",LLC,AL,,,,010731
"J. P. KING AUCTION COMPANY, INC.",CORPORATION,AL,,GADSDEN,,010732
"THE LESLIE C. KING CO., INC.",CORPORATION,AL,,GADSDEN,,010733
"KING OF ANNISTON, INC.",CORPORATION,AL,,ANNISTON,,010734
"SUNNY KING OF BIRMINGHAM, INC.",CORPORATION,AL,,,,010736
ACCOUNTABLE VALET TRASH LLC,LLC,AL,,,,010737
"TIPS 2 TOES BOUTIQUE, LLC",LLC,AL,,,,010739
"KING PHARMACEUTICAL COMPANY, INC.",CORPORATION,AL,,MONTGOMERY,,010740
"KING PONTIAC-BUICK-GMC TRUCK-CHRYSLER, INC.",CORPORATION,AL,,,,010741
TGA VAULT L.L.C.,LLC,AL,,,,011124
ANDY EASLEY LLC,LLC,AL,,,,011125
BETTER LAWN AND GARDENS LLC,LLC,AL,,,,011128
"LIVINGSPRING, L.L.C.",LLC,AL,,,,011130
"RGB ENTERPRISES, LLC",LLC,AL,,,,011131
"COOK'S FAMILY EYECARE, LLC",LLC,AL,,,,011132
LE SUEUR MANUFACTURING COMPANY,CORPORATION,AL,,BIRMINGHAM,,011134
LEACH MANUFACTURING COMPANY,CORPORATION,AL,,GADSDEN,,011135
"VIRGIL PATE INSTRUCTOR SERVICES, LLC",LLC,AL,,,,011398
5TH2 ENTERTAINMENT LLC,LLC,AL,,,,011400
"CM ASSOCIATES, INC.",CORPORATION,AL,,HUNTSVILLE,,011401
LEONARDO'S HARDWOOD FLOORING & REMODELING LLC,LLC,AL,,,,011402
"LIMESTONE BROADCASTING COMPANY, INC.",CORPORATION,AL,,,,011403
LIMESTONE COUNTY FEEDER PIG ASSOCIATION,CORPORATION,AL,,,,011405
"MASHBURN ENTERPRISES, LLC",LLC,AL,,,,011406
"DEAN ENTERPRISES OF ATHENS, INC.",CORPORATION,AL,,,,011407
"HEALTH SPECIAL RISK, INC.",CORPORATION,AL,4100 MEDICAL PARKWAY,CARROLLTON,75007,011408
"LMG, INC.",CORPORATION,AL,,,,011409
"M AND ASSOCIATES, INC.",CORPORATION,AL,,BIRMINGHAM,,011656
"BAMA UTILITY CONTRACTORS, INC.",CORPORATION,AL,,BIRMINGHAM,,011657
"M & A ELECTRIC COMPANY, INC.",CORPORATION,AL,,GADSDEN,,011659
"M & A STAMP & SIGN CO., INC.",CORPORATION,AL,,,,011660
"M. A. C. BUILDING, INC.",CORPORATION,AL,,MONTGOMERY,,011662
BNB RETAIL GROUP LLC,LLC,AL,,,,011663
"M & B, INC.",CORPORATION,AL,,,,011665
"EIDSON PROPERTIES, L.L.C.",LLC,AL,,,,011666
TIMBER SPOKE LLC,LLC,AL,316 VALLEY ROAD,FAIRFIELD,35064,011667
"CAPSTONE FINISHERS, LLC",LLC,AL,,,,012103
MARTINDALE CORPORATION,CORPORATION,AL,,PHENIX CITY,,012105
ELLISON 911 CONSULTING LLC,LLC,AL,,,,012107
"REDEDS, LLC",LLC,AL,,,,012108
"RISEN PROPERTIES, LLC",LLC,AL,,,,012109
"MASSAGE BENEFITS,LLC",LLC,AL,,,,012110
"ARF MANAGEMENT, LLC",LLC,AL,,,,012112
FRIENDS OF HELENA SCHOOLS,NONPROFIT,AL,,,,012113
THOMPSON SUMMER LEAGUE,NONPROFIT,AL,1500 1ST AVE,WEST ALABASTER,35007,012114
"JULIUS E. MARX, INC.",CORPORATION,AL,,,,012115
"CUTTING EDGE FLOORING, L.L.C.",LLC,AL,5289 LEMANS DRIVE,SATSUMA,36572,012435
"INS CONSULTANTS, INC.",CORPORATION,AL,902 MARKET STREET,WILMINGTON,19899,012436
"MEDICAL CLAIMS SERVICE, INC.",CORPORATION,AL,,BIRMINGHAM,,012439
"SEA BREEZE HEALTH CARE CENTER, INC.",CORPORATION,AL,,,,012441
NEHEMIAH RENOVATION LLC.,LLC,AL,1200 ATHEY ROAD,MOBILE,36608,012444
"F H & C LENDING COMPANY, LLC",LLC,AL,,,,012445
"INFINITY NETWORKS, INC.",CORPORATION,AL,309 MARK STREET,MARKSVILLE,71351,012446
"TOOLE TRUCK CENTER, INC.",CORPORATION,AL,,,,012992
MOBILE WORLD HOMES INC.,CORPORATION,AL,,HALEYVILLE,,012994
"MOBILE'S U-DRIVE-IT, INC.",CORPORATION,AL,,,,012995
ALABAMA TERRASCAPES LLC,LLC,AL,,,,012996
BLACK MARKET.BOARDS L.L.C.,LLC,AL,,,,013000
"JB PROPERTIES AND INVESTMENTS, LLC",LLC,AL,,,,013230
"SPECIALTY MEDICAL SOLUTIONS, LLC",LLC,AL,,,,013231
MOTOR REALTY CORPORATION,CORPORATION,AL,,BIRMINGHAM,,013237
"MOTOR RENTAL, INC.",CORPORATION,AL,,FLORENCE,,013238
"CLEAR PRO IMAGES, LLC",LLC,AL,,,,013239
"B & B INVESTMENT, INC.",CORPORATION,AL,,BIRMINGHAM,,013240
"MOTTE ENTERPRISES, INC.",CORPORATION,AL,,,,013241
"THE MOUAT COMPANY, INC.",CORPORATION,AL,,,,013242
"JERHAM, LLC",LLC,AL,,,,013244
"JERHAM, LLC",LLC,AL,,,,013244
"MOULTON HARDWARE COMPANY, INC.",CORPORATION,AL,,MOULTON,,013246
WINGO FARMS FAMILY LIMITED PARTNERSHIP,PARTNERSHIP,AL,22131 HAUGE STREET,ROBERTSDALE,36567,013247
CAPITAL CITY REALTY LLC,LLC,AL,,,,013248
REPUTABLE PUBLISHING LLC,LLC,AL,,,,013249
"FL TREO ENTERPRISES, LLC",LLC,AL,,,,013250
"334 LIVE, LLC",LLC,AL,,,,013251
"MOUNDVILLE TELEPHONE COMPANY, INC.",CORPORATION,AL,,MOUNDVILLE,,013254
"CHILL FRANCHISING COMPANY, LLC",LLC,AL,,,,013255
"MOUNTAIN BROOK CLEANERS, INCORPORATED",CORPORATION,AL,MT BROOK AL,,,013257
"KRSNA, LLC",LLC,AL,,,,013258
EXPRESS SHRED & DIGITAL IMAGING LLC,LLC,AL,2804 MARSHALL AVENUE,MOBILE,36606,013399
"OSRALA PROPERTIES, LLC",LLC,AL,,,,013400
"BOLIVAR LANDFILL PARTNERSHIP, LLC",LLC,AL,,,,013401
MUTUAL SAVINGS FIRE INSURANCE COMPANY,CORPORATION,AL,,DECATUR,,013403
MUTUAL SAVINGS LIFE INSURANCE COMPANY,CORPORATION,AL,,DECATUR,,013404
LAKE MARTIN STORM SHELTERS LLC,LLC,AL,,,,013406
"WILMETH PROPERTIES, LLC",LLC,AL,,,,013407
"MYERS ELECTRIC COMPANY, INC.",CORPORATION,AL,,BESSEMER,,013410
"RNR PROPERTIES, LLC",LLC,AL,,,,014115
"P & M ENTERPRISES, INC.",CORPORATION,AL,,HOMEWOOD,,014116
X-TECHNOLOGIES LLC,LLC,AL,,,,014118
"EGREGIOUS INNOVATIONS, LLC",LLC,AL,,,,014121
"CSI OF VIRGINIA, INC.",CORPORATION,AL,302 ROANOKE STREET,CHRISTIANBURG,24073,014123
"MEDICAL IMAGING SYSTEMS, INC.",CORPORATION,AL,,BIRMINGHAM,,014124
"P & T INVESTMENTS, INC.",CORPORATION,AL,,FOLEY,,014125
"TUTT & TUTT, LLC",LLC,AL,,,,014126
"SIGNATURE ENTERPRISES, LLC",LLC,AL,,,,014127
"RODNEY BAILEY ENTERPRISES,LLC",LLC,AL,,,,014128
HAMILTON ARMORY LLC,LLC,AL,,,,014129
"1492 COLUMBUS INVESTMENTS, LLC",LLC,AL,,,,014764
"CARNEY REALTY AT SUNSET BAY, LLC",LLC,AL,,,,014768
WEST END HOLDINGS LLC,LLC,AL,,,,014770
"LUKE LEA BEVERAGE AND MARKETING COMPANY, INC.",CORPORATION,AL,,,,014771
BK ENTERTAINMENT LLC,LLC,AL,,,,014773
"PINSON VALLEY FABRICATORS, INC.",CORPORATION,AL,,,,014774
"PINSON VALLEY FURNITURE, INC.",CORPORATION,AL,,BIRMINGHAM,,014775
"PINSON VALLEY HEAT TREATING COMPANY, INC.",CORPORATION,AL,,,,014776
"PINSON VALLEY HEAT TREATING COMPANY, INC.",CORPORATION,AL,,,,014776
"BANNER DIGITAL PRINTING AND PUBLISHING, INC.",CORPORATION,AL,,,,014778
"COMMUNITY LAWYERS USA, P.C.",CORPORATION,AL,,,,014779
"PINTO ISLAND LAND COMPANY, INC.",CORPORATION,AL,,,,014780
SUSTAINABLE GROWTH FOUNDATION INC,NONPROFIT,AL,,,,014782
SUSTAINABLE GROWTH PROPERTIES INC,CORPORATION,AL,,,,014783
SUSTAINABLE GROWTH LAND TRUST INC,NONPROFIT,AL,,,,014784
SUSTAINABLE GROWTH CONSTRUCTION COMPANY INC,CORPORATION,AL,,,,014785
CUSTOM HOMES & PROPERTIES INC,CORPORATION,AL,,,,014786
RENOVATIONS ETCETERA INC,CORPORATION,AL,,,,014787
"PIPE LINE CONSTRUCTION, INC.",CORPORATION,AL,,,,014788
