name,city,state,address,zip
NIMITZ NINTH GRADE SCHOOL,HOUSTON,TX,2425 W W THORNE DR,77073
NINETY SIX HIGH,NINETY SIX,SC,640 S CAMBRIDGE ST,29666
NINETY-NINTH STREET ELEMENTARY,LOS ANGELES,CA,9900 WADSWORTH AVE,90002
NINETY-SIXTH STREET ELEMENTARY,LOS ANGELES,CA,1471 E 96TH ST,90002
NINETY-THIRD STREET ELEMENTARY,LOS ANGELES,CA,330 E 93RD ST,90003
NINETY-THIRD STREET MAGNET,LOS ANGELES,CA,330 E 93RD ST,90003
NINOS HEROES ELEM ACADEMIC CTR,CHICAGO,IL,8344 S COMMERCIAL AVE,60617
NINTH DISTRICT ELEMENTARY,COVINGTON,KY,2800 INDIANA AVE,41015
NIPHER MIDDLE,KIRKWOOD,MO,700 S KIRKWOOD RD,63122
NIPPERSINK MIDDLE SCHOOL,RICHMOND,IL,10006 N MAIN ST,60071
NISD PKSA,SAN ANTONIO,TX,607 RICHLAND HILLS DR,78245
NISHI HONGWANJI CHILD DEVELOPMENT CENTER,LOS ANGELES,CA,815 E 1ST ST,90012
NISHIYAMATO ACADEMY,LOMITA,CA,2458 LOMITA BLVD,90717
NISHUANE ELEMENTARY SCHOOL,MONTCLAIR,NJ,36 CEDAR AVE,07042
NISQUALLY MIDDLE SCHOOL,LACEY,WA,8100 STEILACOOM RD SE,98503
NITRAUER SCH,LANCASTER,PA,811 ASHBOURNE AVE,17601
NITRO ELEMENTARY SCHOOL,NITRO,WV,1921 19TH ST,25143
NITRO HIGH SCHOOL,NITRO,WV,1300 PARK AVE,25143
NITSCHMANN MS,BETHLEHEM,PA,1002 W UNION BLVD,18018
NITTANY CHRISTIAN SCHOOL,STATE COLLEGE,PA,1221 W WHITEHALL RD,16801
NIU VALLEY MIDDLE SCHOOL,HONOLULU,HI,310 HALEMAUMAU ST,96821
NIWOT HIGH SCHOOL,NIWOT,CO,8989 NIWOT RD,80503
NIXA HIGH,NIXA,MO,514 S NICHOLAS RD,65714
NIXON (PATRICIA) ELEMENTARY,CERRITOS,CA,19600 JACOB AVE,90703
NIXON-SMILEY DAEP,SMILEY,TX,102 US-87,78159
NIXON-SMILEY MIDDLE,NIXON,TX,703 N RANCHO RD,78140
NIXYAAWII COMMUNITY SCHOOL,PENDLETON,OR,46250 TI'MINE WAY,97801
NJEDDA ELEMENTARY SCHOOL,CLIFTON,NJ,1481 MAIN AVE,07011
NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,ALAMOGORDO,NM,1900 N WHITE SANDS BLVD,88310
NM SCHOOL FOR THE DEAF,SANTA FE,NM,1060 CERRILLOS RD,87505
NO 4 JOSEPH BATTIN ES,ELIZABETH,NJ,300 S BROAD ST,07202
NO. UT. ACAD. FOR MATH ENGINEERING & SCIENCE,LAYTON,UT,2750 UNIVERSITY PARK BLVD,84041
NOAH WALLACE SCHOOL,FARMINGTON,CT,2 SCHOOL ST,06032
NOAH WEBSTER ACADEMY,OREM,UT,205 E 400 S ST,84058
NOAH WEBSTER SCHOOLS-PIMA,SCOTTSDALE,AZ,5399 N PIMA RD,85250
NOBEL ELEM SCHOOL,CHICAGO,IL,4127 W HIRSCH ST,60651
NOBEL JUNIOR MAGNET CENTER,NORTHRIDGE,CA,9950 TAMPA AVE,91324
NOBLE ACADEMY,BROOKLYN PARK,MN,9477 DECATUR DR N,55445
NOBLE AND GREENOUGH SCHOOL,DEDHAM,MA,10 CAMPUS DR,02026
NOBLE CROSSING ELEMENTARY SCHOOL,NOBLESVILLE,IN,5670 NOBLE CROSSING PKWY,46062
NOBLE ELEMENTARY,SAN JOSE,CA,3466 GROSSMONT DR,95132
NOBLE HIGH SCHOOL,NORTH BERWICK,ME,100 NOBLE WAY,03906
NOBLE LEADERSHIP ACADEMY,PASSAIC,NJ,123 JEFFERSON ST,07055
NOBLE MIDDLE SCHOOL,BERWICK,ME,46 CRANBERRY MEADOW RD,03901
NOBLE ST CHTR RAUNER COLLEGE PREP,CHICAGO,IL,1337 W OHIO ST,60642
NOBLE ST CHTR-DRW TRADING COL,CHICAGO,IL,931 S HOMAN AVE,60624
NOBLE ST CHTR-GOLDER COLLEGE PREP,CHICAGO,IL,1454 W SUPERIOR ST,60642
NOBLE ST CHTR-ITW SPEER ACAD,CHICAGO,IL,5321 W GRAND AVE,60639
NOBLE ST CHTR-MUCHIN COLLEGE PREP,CHICAGO,IL,1010 N NOBLE ST,60642
NOBLE ST CHTR-ROWE-CLARK MS ACAD,CHICAGO,IL,3645 W CHICAGO AVE,60651
NOBLE ST CHTR-THE NOBLE ACADEMY,CHICAGO,IL,1443 N OGDEN AVE,60610
NOBLEBORO CENTRAL SCHOOL,NOBLEBORO,ME,194 CENTER ST,04555
NOBLESVILLE HIGH SCHOOL,NOBLESVILLE,IN,18111 CUMBERLAND RD,46060
NODAWAY VALLEY HIGH SCHOOL,GREENFIELD,IA,410 NW 2ND ST,50849
NODAWAY VALLEY MIDDLE SCHOOL,FONTANELLE,IA,112 S 1ST ST,50846
NODAWAY-HOLT ELEM.,MAITLAND,MO,409 HICKORY ST,64466
NODDIN ELEMENTARY,SAN JOSE,CA,1755 GILDA WAY,95124
NOEL C. TAYLOR ACADEMY AT OAKLAND,ROANOKE,VA,3229 WILLIAMSON RD,24012
NOEL LEVASSEUR ELEM SCHOOL,BOURBONNAIS,IL,601 W BETHEL DR,60914
NOGALES HIGH,LA PUENTE,CA,401 NOGALES ST,91744
NOLACHUCKEY ELEMENTARY,GREENEVILLE,TN,565 NOLICHUCKEY RD,37743
NOLAN CREEK SCHOOL,BELTON,TX,505 E AVENUE C,76513
NOLENSVILLE HIGH SCHOOL,NOLENSVILLE,TN,1600 SUMMERLYN DR,37135
NOME YOUTH FACILITY,NOME,AK,804 E 4TH AVE,99762
NOMPENG ACADEMY,BROOKLYN CENTER,MN,6201 NOBLE AVE N,55429
NONNEWAUG HIGH SCHOOL,WOODBURY,CT,5 MINORTOWN RD,06798
NOOKSACK ELEMENTARY,EVERSON,WA,3333 BRECKENRIDGE RD,98247
NOOKSACK VALLEY HIGH SCHOOL,EVERSON,WA,3326 E BADGER RD,98247
NOONAN EL,ALICE,TX,701 W 3RD ST,78332
NOONAN ELEMENTARY ACADEMY,MOKENA,IL,19131 HENRY DR,60448
NOOR ACADEMY OF ARIZONA,TEMPE,AZ,W 85282,85282
NOOR INTERNATIONAL ACADEMY,STERLING HEIGHTS,MI,37412 DEQUINDRE RD,48310
NORA CRONIN PRESENTATION ACADEMY,NEWBURGH,NY,69 BAY VIEW TERRACE,12550
NORA STERRY ELEMENTARY,LOS ANGELES,CA,1730 CORINTH AVE,90025
NORCO COLLEGE,NORCO,CA,2001 THIRD ST,92860
NORCO ELEMENTARY,NORCO,CA,1700 TEMESCAL AVE,92860
NORCO HIGH,NORCO,CA,2065 TEMESCAL AVE,92860
NORCO INTERMEDIATE,NORCO,CA,2711 TEMESCAL AVE,92860
NORCREST ELEMENTARY SCHOOL,POMPANO BEACH,FL,3951 NE 16TH AVE,33064
NORCROSS ELEMENTARY SCHOOL,NORCROSS,GA,150 HUNT ST,30071
NORCROSS HIGH SCHOOL,NORCROSS,GA,5300 SPALDING DR,30092
NORD ANGLIA INTERNATIONAL SCHOOL,NEW YORK,NY,44 E 2ND ST,10003
NORD COUNTRY,CHICO,CA,5554 CALIFORNIA ST,95973
NORDONIA HIGH SCHOOL,MACEDONIA,OH,8006 S BEDFORD RD,44056
NORFELDT SCHOOL,WEST HARTFORD,CT,35 BARKSDALE RD,06117
NORFOLK CATHOLIC HIGH SCHOOL,NORFOLK,NE,2300 MADISON AVE,68701
NORFOLK HIGHLANDS PRIMARY,CHESAPEAKE,VA,1115 MYRTLE AVE,23325
NORFOLK TECHNICAL CENTER,NORFOLK,VA,1330 N MILITARY HWY,23502
NORIEGA CHILDREN CENTER,SAN FRANCISCO,CA,1775 44TH AVE,94122
NORMA KRUEGER EL,MARION,TX,306 S CUNNINGHAM ST,78124
NORMA KRUEGER EL/BERT KARRER CAMPUS,MARION,TX,306 S CUNNINGHAM ST,78124
NORMAL COMMUNITY HIGH SCHOOL,NORMAL,IL,3900 E RAAB RD,61761
NORMAN G. AMBROSINI ELEMENTARY,FORTUNA,CA,3850 ROHNERVILLE RD,95540
NORMAN HS,NORMAN,OK,911 W MAIN ST,73069
NORMAN J H,KAUFMAN,TX,LIONS STADIUM,75142
NORMAN L. SULLIVAN MIDDLE,BONSALL,CA,7350 W LILAC RD,92003
NORMAN LIDDELL ELEMENTARY,FRESNO,CA,5455 W ALLUVIAL AVE,93722
NORMAN M THOMAS EL,FREER,TX,1404 S NORTON AVE,78357
NORMAN PARK ELEMENTARY SCHOOL,NORMAN PARK,GA,249 W WEEKS ST #5672,31771
NORMAN R KELLEY INTERMEDIATE SCHOOL,NEWARK,NY,316 W MILLER ST,14513
NORMAN R. BREKKE ELEMENTARY,OXNARD,CA,WEST VILLAGE PARK,93030
NORMAN S WEIR,PATERSON,NJ,152 COLLEGE BLVD,07505
NORMAN S. EDELCUP/SUNNY ISLES BEACH K-8,SUNNY ISLES BEACH,FL,201 182ND DR,33160
NORMAN SMITH ELEMENTARY,CLARKSVILLE,TN,740 GREENWOOD AVE,37040
NORMANDIN MIDDLE SCHOOL,NEW BEDFORD,MA,81 FELTON ST,02745
NORMANDY ELEMENTARY SCHOOL,BAY VILLAGE,OH,26920 NORMANDY RD,44140
NORRIS ELEMENTARY SCHOOL,THOMSON,GA,1861 HARRISON RD SE,30824
NORRIS HIGH,MUKWONAGO,WI,W247S10395 CENTER DR,53149
NORRIS HIGH SCHOOL,FIRTH,NE,NORRIS HIGH SCHOOL,68358
NORRIS INTERMEDIATE SCHOOL,FIRTH,NE,25211 S 68TH ST,68358
NORRIS MIDDLE SCHOOL,NORRIS,TN,5 NORRIS SQUARE,37828
NORTE DEL RIO HIGH,SACRAMENTO,CA,4540 AMERICAN RIVER DR,95864
NORTE VISTA SPECIAL EDUCATION,RIVERSIDE,CA,6585 CREST AVE,92503
NORTH ACADEMY SENIOR HIGH,MINNEAPOLIS,MN,1500 JAMES AVE N,55411
NORTH ADAMS HIGH SCHOOL,SEAMAN,OH,96 GREEN DEVIL DR,45679
NORTH ADAMSJEROME ELEM SCHOOL,NORTH ADAMS,MI,4555 KNOWLES RD,49262
NORTH ALBANY MIDDLE SCHOOL,ALBANY,OR,1205 NW NORTH ALBANY RD,97321
NORTH ALLEGHENY HS,WEXFORD,PA,10375 PERRY HWY,15090
NORTH AMERICAN MARTYRS SCHOOL,MONROEVILLE,PA,2526 HAYMAKER RD,15146
NORTH ANDREW HIGH,ROSENDALE,MO,9120 MO-48,64483
NORTH ANDREW MIDDLE,ROSENDALE,MO,9120 MO-48,64483
NORTH ARKANSAS COLLEGE,HARRISON,AR,1515 PIONEER DR,72601
NORTH ARVADA MIDDLE SCHOOL,ARVADA,CO,7285 PIERCE ST,80003
NORTH ASHEBORO MIDDLE,ASHEBORO,NC,1861 N ASHEBORO SCHOOL RD,27203
NORTH ATLANTA HIGH SCHOOL,ATLANTA,GA,4111 NORTHSIDE PKWY NW,30327
NORTH ATTLEBORO HIGH,NORTH ATTLEBOROUGH,MA,1 WILSON WEST WHITTY WAY,02760
NORTH ATTLEBOROUGH EARLY LEARNING CENTER,NORTH ATTLEBOROUGH,MA,25 SCHOOL ST,02760
NORTH AURELIUS ELEMENTARY SCHOOL,MASON,MI,115 N AURELIUS RD,48854
NORTH BAY CHRISTIAN ACADEMY,NOVATO,CA,6965 REDWOOD BLVD,94945
NORTH BAY ELEMENTARY SCHOOL,BILOXI,MS,1825 POPP'S FERRY RD,39532
NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL,PANAMA CITY,FL,1 BUCCANEER DRIVE,32404
NORTH BEACH SENIOR HIGH SCHOOL,OCEAN SHORES,WA,336 WA-115,98569
NORTH BEND CENTRAL HIGH SCHOOL,NORTH BEND,NE,530 W 13TH ST,68649
NORTH BEND CENTRAL MIDDLE SCHOOL,NORTH BEND,NE,530 W 13TH ST,68649
NORTH BEND ELEMENTARY,JARRETTSVILLE,MD,1445 N BEND RD,21084
NORTH BEND SENIOR HIGH SCHOOL,NORTH BEND,OR,2323 PACIFIC ST,97459
NORTH BETHESDA MIDDLE,BETHESDA,MD,8935 BRADMOOR DR,20817
NORTH BOONE MIDDLE SCHOOL,POPLAR GROVE,IL,17641 POPLAR GROVE RD,61065
NORTH BRANCH EARLY CHILDHOOD,NORTH BRANCH,MN,38705 GRAND AVE,55056
NORTH BRANCH MIDDLE,NORTH BRANCH,MN,38431 LINCOLN TRAIL,55056
NORTH BRANCH MIDDLE SCHOOL,NORTH BRANCH,MI,6600 BRUSH ST,48461
NORTH BRANCH SENIOR HIGH,NORTH BRANCH,MN,38175 GRAND AVE,55056
NORTH BRANFORD INTERMEDIATE SCHOOL,NORTH BRANFORD,CT,654 FOXON RD,06471
NORTH BRIDGE ACADEMY,MILL VALLEY,CA,17 BUENA VISTA AVE,94941
NORTH BROADWAY ELEMENTARY,ESCONDIDO,CA,2301 N BROADWAY,92026
NORTH BROWARD ACADEMY OF EXCELLENCE MIDDLE SCHOOL,NORTH LAUDERDALE,FL,8200 SW 17TH ST,33068
NORTH BROWARD PREPARATORY SCHOOL,COCONUT CREEK,FL,7600 LYONS RD,33073
NORTH BUNCOMBE ELEMENTARY,WEAVERVILLE,NC,251 FLAT CREEK CHURCH RD,28787
NORTH BUNCOMBE HIGH,WEAVERVILLE,NC,890 CLARKS CHAPEL RD,28787
NORTH BUNCOMBE MIDDLE,WEAVERVILLE,NC,51 N BUNCOMBE SCHOOL RD,28787
NORTH BUTLER ELEMENTARY,ALLISON,IA,513 BIRCH ST,50602
NORTH CAROLINA CENTRAL UNIVERSITY,DURHAM,NC,1801 FAYETTEVILLE ST,27707
NORTH CAROLINE HIGH SCHOOL,RIDGELY,MD,10990 RIVER RD,21660
NORTH CEDAR ACADEMY,LADYSMITH,WI,1500 PORT ARTHUR RD,54848
NORTH CENTRAL ACADEMY CAMPUS,MANCELONA,MI,5055 COREY RD,49659
NORTH CENTRAL ELEMENTARY SCHOOL,PIONEER,OH,400 E BAUBICE ST,43554
NORTH CENTRAL HIGH,KERSHAW,SC,3000 LOCKHART RD,29067
NORTH CENTRAL HIGH SCHOOL,FARMERSBURG,IN,910 E CO RD 975 N,47850
NORTH CENTRAL HIGH SCHOOL,INDIANAPOLIS,IN,1801 E 86TH ST,46240
NORTH CENTRAL JUNIOR HIGH SCHOOL,NORTH LIBERTY,IA,180 W FOREVERGREEN RD,52317
NORTH CENTRAL JUNIOR/HIGH SCHOOL,PIONEER,OH,400 E BAUBICE ST,43554
NORTH CENTRAL MICHIGAN COLLEGE,PETOSKEY,MI,1515 HOWARD ST,49770
NORTH CENTRAL MICHIGAN COLLEGE - CHEBOYGAN,CHEBOYGAN,MI,504 DIVISION ST,49721
NORTH CENTRAL MICHIGAN COLLEGE - GAYLORD,GAYLORD,MI,620 E 5TH ST,49735
NORTH CENTRAL MIDDLE,KERSHAW,SC,805 STATE RD S-28-354,29067
NORTH CENTRAL STATE COLLEGE - SHELBY CAMPUS,SHELBY,OH,175 MANSFIELD AVE,44875
NORTH CENTRAL UNIVERSITY,MINNEAPOLIS,MN,910 ELLIOT AVE,55404
NORTH CHARLESTON CREATIVE ARTS ELEMENTARY,NORTH CHARLESTON,SC,5200 LACKAWANNA BLVD,29405
NORTH CHARLESTON HIGH,NORTH CHARLESTON,SC,1087 E MONTAGUE AVE,29405
NORTH CHATHAM ELEMENTARY,CHAPEL HILL,NC,3380 LYSTRA RD,27517
NORTH CHEVY CHASE ELEMENTARY,CHEVY CHASE,MD,3700 JONES BRIDGE RD,20815
NORTH CHICAGO COMMUNITY HIGH SCH,NORTH CHICAGO,IL,1717 17TH ST,60064
NORTH CITY ELEMENTARY,ATHENS,TN,1601 PALOS ST,37303
NORTH CLARION CO JSHS,TIONESTA,PA,10439 PA-36,16353
NORTH CLAY MIDDLE SCHOOL,BRAZIL,IN,3450 W STATE RD 340,47834
NORTH CO. SR. HIGH,BONNE TERRE,MO,7151 RAIDER RD,63628
NORTH COBB CHRISTIAN SCHOOL,KENNESAW,GA,4500 EAGLE DR,30144
NORTH COBB HIGH SCHOOL,KENNESAW,GA,3400 OLD 41 HWY NW,30144
NORTH COLLEGE HILL MIDDLE SCHOOL,CINCINNATI,OH,1624 GALBRAITH RD,45239
NORTH COLLINS JUNIOR-SENIOR HIGH SCHOOL,NORTH COLLINS,NY,2045 SCHOOL ST,14111
NORTH COLUMBIA ELEMENTARY SCHOOL,APPLING,GA,APPLING,30802
NORTH CORBIN JUNIOR HIGH SCHOOL,WALKER,LA,32725 N CORBIN RD,70785
NORTH COTTONWOOD,COTTONWOOD,CA,19920 GAS POINT RD,96022
NORTH COUNTRY CHARTER ACADEMY (M),LITTLETON,NH,260 COTTAGE ST A,03561
NORTH COUNTRY COMMUNITY COLLEGE - TICONDEROGA CAMPUS,TICONDEROGA,NY,11 HAWKEYE TRAIL,12883
NORTH COUNTRY ELEMENTARY,ANTELOPE,CA,3901 LITTLE ROCK DR,95843
NORTH COUNTRY SCHOOL,LAKE PLACID,NY,80 NORTHCOUNTRY SCHOOL WAY,12946
NORTH COUNTY HIGH,GLEN BURNIE,MD,10 E 1ST AVE,21061
NORTH COUNTY SPECIAL EDUCATION,SANTA CRUZ,CA,400 ENCINAL ST,95060
NORTH CREEK HIGH SCHOOL,BOTHELL,WA,3613 191ST PL SE,98012
NORTH CROWLEY H S,FORT WORTH,TX,9100 S HULEN ST #2701,76123
NORTH CUMBERLAND MIDDLE,CUMBERLAND,RI,400 NATE WHIPPLE HWY,02864
NORTH DAKOTA STATE COLLEGE OF SCIENCE,WAHPETON,ND,800 6TH ST N,58076
NORTH DAVIDSON HIGH,LEXINGTON,NC,7227 OLD U.S. HWY 52,27295
NORTH DAVIDSON MIDDLE,LEXINGTON,NC,333 CRITCHER DR,27295
NORTH DAVIS PREPARATORY ACADEMY,LAYTON,UT,1765 W HILL FIELD RD,84041
NORTH DECATUR JR-SR HIGH SCHOOL,GREENSBURG,IN,3172 IN-3,47240
NORTH DESOTO LOWER ELEMENTARY SCHOOL,STONEWALL,LA,2623 US-171,71078
NORTH DORCHESTER MIDDLE SCHOOL,HURLOCK,MD,5745 CLOVERDALE RD,21643
NORTH DOUGLAS HIGH SCHOOL,DRAIN,OR,305 S MAIN ST,97435
NORTH EAST MIDDLE,NORTH EAST,MD,200 E CECIL AVE,21901
NORTH ELEM SCHOOL,CRYSTAL LAKE,IL,500 W WOODSTOCK ST,60014
NORTH ELEM SCHOOL,VILLA PARK,IL,150 W SUNSET DR,60181
NORTH ELEMENTARY,ANTIGO,WI,506 GRAHAM AVE,54409
NORTH ELEMENTARY,HARTLAND,WI,232 CHURCH ST,53029
NORTH ELEMENTARY SCHOOL,BRENTWOOD,NY,50 W WHITE ST,11717
NORTH ELEMENTARY SCHOOL,DANVILLE,IN,398 URBAN ST,46122
NORTH ELEMENTARY SCHOOL,MORGANTOWN,WV,825 CHESTNUT RIDGE RD,26505
NORTH ELEMENTARY SCHOOL,MOUNTAIN HOME,ID,290 E 12TH N,83647
NORTH END ELEMENTARY,CEDAR GROVE,NJ,122 STEVENS AVE,07009
NORTH END MONTESSORI SCHOOL LLC,MANCHESTER,NH,698 BEECH ST,03104
NORTH EUGENE HIGH SCHOOL,EUGENE,OR,200 SILVER LN,97404
NORTH FAIRVIEW,TOPEKA,KS,1941 NE 39TH ST,66617
NORTH FAYETTE VALLEY MIDDLE SCHOOL,ELGIN,IA,23493 CANOE RD,52141
NORTH FAYETTE-VALLEY MIDDLE SCHOOL,ELGIN,IA,23493 CANOE RD,52141
NORTH FLORIDA CHRISTIAN SCHOOL,TALLAHASSEE,FL,3000 N MERIDIAN RD,32312
NORTH FLORIDA COMMUNITY COLLEGE,MADISON,FL,325 TURNER DAVIS DR,32340
NORTH FLORIDA COSMETOLOGY INSTITUTE INC,TALLAHASSEE,FL,2424 ALLEN RD,32312
NORTH FORESTVILLE ELEMENTARY,FORESTVILLE,MD,2311 RITCHIE RD #3735,20747
NORTH FORK ELEMENTARY,NORTH FORK,CA,33087 RD 228,93643
NORTH FORNEY H S,FORNEY,TX,6170 FALCON WAY,75126
NORTH FORREST HIGH SCHOOL,HATTIESBURG,MS,693 EATONVILLE RD,39401
NORTH FORT MYERS ACADEMY FOR THE ARTS,NORTH FORT MYERS,FL,1856 ARTS WAY,33917
NORTH FORT MYERS HIGH SCHOOL,NORTH FORT MYERS,FL,5000 ORANGE GROVE BLVD,33903
NORTH FREMONT JR/SR HIGH SCHOOL,ASHTON,ID,1011 PINE ST,83420
NORTH GEM HIGH SCHOOL,BANCROFT,ID,360 MAIN ST,83217
NORTH GEM MIDDLE SCHOOL,BANCROFT,ID,360 MAIN ST,83217
NORTH GEORGETOWN ELEMENTARY SCHOOL,GEORGETOWN,DE,664 N BEDFORD ST,19947
NORTH GRADE ELEMENTARY SCHOOL,LAKE WORTH,FL,824 N K ST,33460
NORTH GREENVILLE UNIVERSITY,TIGERVILLE,SC,7801 N TIGERVILLE RD,29688
NORTH GWINNETT HIGH SCHOOL,SUWANEE,GA,20 LEVEL CREEK RD NW,30024
NORTH GWINNETT MIDDLE SCHOOL,SUGAR HILL,GA,170 PEACHTREE INDUSTRIAL BLVD,30518
NORTH HABERSHAM MIDDLE SCHOOL,CLARKESVILLE,GA,1500 WALL BRIDGE RD,30523
NORTH HALL MIDDLE SCHOOL,GAINESVILLE,GA,4856 RILLA RD,30506
NORTH HARDIN HIGH SCHOOL,RADCLIFF,KY,801 S LOGSDON PKWY,40160
NORTH HARFORD MIDDLE,PYLESVILLE,MD,112 PYLESVILLE RD,21132
NORTH HARLEM ELEMENTARY SCHOOL,HARLEM,GA,525 FAIRVIEW DR,30814
NORTH HARRISON ELEMENTARY SCHOOL,RAMSEY,IN,1115 W WHISKEY RUN RD NW,47166
NORTH HARRISON MIDDLE SCHOOL,RAMSEY,IN,1180 IN-64,47166
NORTH HARTSVILLE ELEMENTARY,HARTSVILLE,SC,110 SCHOOL DR,29550
NORTH HAVEN MIDDLE SCHOOL,NORTH HAVEN,CT,55 BAILEY RD,06473
NORTH HEIGHTS JR. HIGH SCHOOL,TEXARKANA,AR,2118 E 35TH ST,71854
NORTH HENNEPIN COMMUNITY COLLEGE,BROOKLYN PARK,MN,7411 85TH AVE N,55445
NORTH HIGH,BAKERSFIELD,CA,300 GALAXY AVE,93308
NORTH HIGH,SHEBOYGAN,WI,2926 N 10TH ST,53083
NORTH HIGH,TORRANCE,CA,3620 W 182ND ST,90504
NORTH HIGH SCHOOL,DES MOINES,IA,501 HOLCOMB AVE,50313
NORTH HIGH SCHOOL,EASTLAKE,OH,34041 STEVENS BLVD,44095
NORTH HILL ELEMENTARY SCHOOL,BURLINGTON,IA,825 N 9TH ST,52601
NORTH HILLS CHRISTIAN SCHOOL,SALISBURY,NC,2970 W INNES ST,28144
NORTH HILLS CHRISTIAN SCHOOL,VALLEJO,CA,200 ADMIRAL CALLAGHAN LN,94591
NORTH HILLS EL SCH,YORK,PA,1330 N HILLS RD,17406
NORTH HILLS MS,PITTSBURGH,PA,55 ROCHESTER RD,15229
NORTH HOLLYWOOD SENIOR HIGH,NORTH HOLLYWOOD,CA,5231 COLFAX AVE,91601
NORTH HOLLYWOOD SENIOR HIGH SC,NORTH HOLLYWOOD,CA,5231 COLFAX AVE,91601
NORTH HOPKINS H S,SULPHUR SPRINGS,TX,1994 W FARM RD 71,75482
NORTH HORNELL SCHOOL,HORNELL,NY,AVONDALE AVE,14843
NORTH HOUSTON EARLY COLLEGE H S,HOUSTON,TX,8001 FULTON ST BLDG C,77022
NORTH HUDSON ELEMENTARY,HUDSON,WI,510 LEMON ST N,54016
NORTH HUNTERDON HIGH SCHOOL,ANNANDALE,NJ,1445 NJ-31,08801
NORTH IDAHO COLLEGE,COEUR D'ALENE,ID,1000 W GARDEN AVE,83814
NORTH INTERMEDIATE,WILMINGTON,MA,320 SALEM ST,01887
NORTH IOWA AREA COMMUNITY COLLEGE,MASON CITY,IA,500 COLLEGE DR,50401
NORTH IOWA HIGH SCHOOL,BUFFALO CENTER,IA,111 3RD AVE NW,50424
NORTH IOWA MIDDLE SCHOOL,BUFFALO CENTER,IA,111 3RD AVE NW,50424
NORTH IREDELL HIGH,OLIN,NC,156 RAIDER RD,28660
NORTH IREDELL MIDDLE,OLIN,NC,2467 JENNINGS RD,28660
NORTH JACKSON ELEMENTARY,GLASGOW,KY,2002 N JACKSON HWY,42141
NORTH JACKSON HIGH SCHOOL,STEVENSON,AL,45549 AL-277,35772
NORTH JOHNSTON MIDDLE,MICRO,NC,435 OIL COMPANY RD,27555
NORTH JUNIOR HIGH SCHOOL,BOISE,ID,1105 N 13TH ST,83702
NORTH KERN CHRISTIAN SCHOOL,WASCO,CA,710 PETERS ST,93280
NORTH KINGSTOWN SR. HIGH,NORTH KINGSTOWN,RI,150 FAIRWAY DR,02852
