total,id,snapshot_date,source_url
99,STABS9fbd9ec566847e1c,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
1821,STABSd576723657f2f73e,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
487,STABSa73423ef9309c8dd,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
54,STABSdf1c65bab69ded64,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
556,STABSf2b0f8a2a5c742d8,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
125,STABS5d237e65d4a04024,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
999,STABSe06035c4207ed7b8,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
1723,STABS3856e14263347972,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
1306,STABS99c4b96435084a79,2018-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Statistical_Information_Trends_BOC_Approval_12_20_2018.pdf
337,STABS53bbbd6a746cd3f0,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
"1,655",STABS9c3b3229843bf946,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
617,STABSb72b6999eb188beb,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
"1,667",STABS3c627a8033b2a487,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
583,STABS319d5ee61f030f31,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
"1,069",STABSf9ca3ac9c2b320fb,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
573,STABS3cd9ac0546946fb2,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
986,STABS3a8c33e03053b282,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
132,STABSb1427537aac4d1fd,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
825,STABSfc5a06ae674e94b6,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
100,STABS9fbd9ec566847e1c,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
"1,833",STABSd576723657f2f73e,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
491,STABSa73423ef9309c8dd,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
53,STABSdf1c65bab69ded64,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
559,STABSf2b0f8a2a5c742d8,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
124,STABS5d237e65d4a04024,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
991,STABSe06035c4207ed7b8,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
1708,STABS3856e14263347972,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
"1,290",STABS99c4b96435084a79,2019-12-31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY19_Statistical_Information_Trends_Website_-_April_10_2020.pdf
334,STABS53bbbd6a746cd3f0,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
1804,STABS9c3b3229843bf946,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
617,STABSb72b6999eb188beb,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
1612,STABS3c627a8033b2a487,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
582,STABS319d5ee61f030f31,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
1077,STABSf9ca3ac9c2b320fb,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
564,STABS3cd9ac0546946fb2,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
983,STABS3a8c33e03053b282,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
131,STABSb1427537aac4d1fd,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
824,STABSfc5a06ae674e94b6,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
98,STABS9fbd9ec566847e1c,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
1816,STABSd576723657f2f73e,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
531,STABSa73423ef9309c8dd,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
53,STABSdf1c65bab69ded64,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
541,STABSf2b0f8a2a5c742d8,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
121,STABS5d237e65d4a04024,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
993,STABSe06035c4207ed7b8,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
1624,STABS3856e14263347972,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
882,STABS99c4b96435084a79,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
419,STABSd3479b3250bc7cbd,2020-12-31,https://doc.arkansas.gov/wp-content/uploads/2021/02/ADC-FY20-Statistical-Information-Trends-_2-17-2021.pdf
277,STABS53bbbd6a746cd3f0,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
1861,STABS9c3b3229843bf946,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
553,STABSb72b6999eb188beb,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
1505,STABS3c627a8033b2a487,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
486,STABS319d5ee61f030f31,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
978,STABSf9ca3ac9c2b320fb,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
370,STABSd3479b3250bc7cbd,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
555,STABS3cd9ac0546946fb2,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
