name,city,state,district
UPSON-LEE MIDDLE SCHOOL,THOMASTON,GA,THOMASTON-UPSON COUNTY
IRVING ELEMENTARY SCHOOL,WATERLOO,IA,WATERLOO COMM SCHOOL DISTRICT
READLYN ELEMENTARY SCHOOL,READLYN,IA,WAPSIE VALLEY COMM SCHOOL DISTRICT
RURAL ELEMENTARY SCHOOL #1,FAIRBANK,IA,WAPSIE VALLEY COMM SCHOOL DISTRICT
PCM HIGH SCHOOL,MONROE,IA,PCM COMM SCHOOL DISTRICT
REMSEN-UNION MIDDLE SCHOOL,REMSEN,IA,REMSEN-UNION COMM SCHOOL DISTRICT
ANDERSON ELEMENTARY SCHOOL,BONDURANT,IA,BONDURANT-FARRAR COMM SCHOOL DISTRICT
UNDERWOOD ELEMENTARY SCHOOL,UNDERWOOD,IA,UNDERWOOD COMM SCHOOL DISTRICT
FOREST CITY HIGH SCHOOL,FOREST CITY,IA,FOREST CITY COMM SCHOOL DISTRICT
CENTRAL SPRINGS ELEM. MANLY CAMPUS,MANLY,IA,CENTRAL SPRINGS COMM SCHOOL DISTRICT
WASHINGTON ELEMENTARY SCHOOL,POCATELLO,ID,POCATELLO DISTRICT
LINCOLNELEMENTARYSCHOOL,DIXMOOR,IL,W HARVEY-DIXMOOR PSD 147
DAWESELEMENTARYSCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299
MONTEFIORE SPECIALELEMENTARYSCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299
CATHERELEMENTARYSCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299
GALEELEMENTARYCOMMUNITY ACADEMY,CHICAGO,IL,CITY OF CHICAGO SD 299
JANE STENSON SCHOOL,SKOKIE,IL,SKOKIE SD 68
SOUTHSIDE OCCUPATIONAL ACAD HS,CHICAGO,IL,CITY OF CHICAGO SD 299
HOLLYWOODELEMENTARYSCHOOL,BROOKFIELD,IL,RIVERSIDE SD 96
KENNEDY HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299
HOLMESELEMENTARYSCHOOL,HARVEY,IL,HARVEY SD 152
SCOTTELEMENTARYSCHOOL,SCOTT AIR FORCE B,IL,MASCOUTAH CUD 19
BRENTWOOD ELEMENTARY SCHOOL,PLAINFIELD,IN,PLAINFIELD COMMUNITY SCHOOL CORPORATION
OOLITIC MIDDLE SCHOOL,OOLITIC,IN,NORTH LAWRENCE COM SCHOOLS
FISHBACK CREEK PUBLIC ACADEMY,INDIANAPOLIS,IN,MSD PIKE TOWNSHIP
JENNIE WILSON ELEM,GARDEN CITY,KS,GARDEN CITY
MARAIS DES CYGNES VALLEY HIGH,MELVERN,KS,MARAIS DES CYGNES VALLEY
ROBINSON ELEMENTARY SCHOOL,ARY,KY,PERRY COUNTY
SOUTHSIDE ELEMENTARY SCHOOL,LAKE PROVIDENCE,LA,EAST CARROLL PARISH
L. LEO JUDICE ELEMENTARY SCHOOL,SCOTT,LA,LAFAYETTE PARISH
SPOFFORD POND,BOXFORD,MA,BOXFORD
MARGARET C ELLS,SPRINGFIELD,MA,SPRINGFIELD
ROBIN HOOD,STONEHAM,MA,STONEHAM
DOWNEY,BROCKTON,MA,BROCKTON
NORTH BROOKFIELD ELEMENTARY,NORTH BROOKFIELD,MA,NORTH BROOKFIELD
EAST AUBURN COMMUNITY SCHOOL,AUBURN,ME,AUBURN PUBLIC SCHOOLS
LEWISTON MIDDLE SCHOOL,LEWISTON,ME,LEWISTON PUBLIC SCHOOLS
PORTAGE COMMUNITY HIGH SCHOOL,PORTAGE,MI,PORTAGE PUBLIC SCHOOLS
EASTLAWN SCHOOL,MIDLAND,MI,MIDLAND PUBLIC SCHOOLS
MANISTIQUE ALTERNATIVE ED CENTER,MANISTIQUE,MI,MANISTIQUE AREA SCHOOLS
ST. FRANCIS ELEMENTARY,SAINT FRANCIS,MN,ST. FRANCIS AREA SCHOOLS
COLVILL FAMILY EDUCATION CENTER,RED WING,MN,RED WING PUBLIC SCHOOL DISTRICT
SIMMONS HIGH SCHOOL,HOLLANDALE,MS,HOLLANDALE SCHOOL DISTRICT
LELAND VOC COMPLEX,LELAND,MS,LELAND SCHOOL DISTRICT
LIBERAL HIGH,LIBERAL,MO,LIBERAL R-II
COLUMBIA AREA CAREER CTR.,COLUMBIA,MO,COLUMBIA 93
BRAYMER ELEM.,BRAYMER,MO,BRAYMER C-4
JACKSON MIDDLE,JACKSON,MO,JACKSON R-II
